pageID,has_image,has_text,count_of_image,img_layout,error
gzfh_ld_1,N,Y,0,NA,
gzfh_ld_2,N,Y,0,NA,
gzfh_ld_3,N,Y,0,NA,
gzfh_ld_4,N,Y,0,NA,
gzfh_ld_5,N,Y,0,NA,
gzfh_ld_6,N,Y,0,NA,
gzfh_ld_7,N,Y,0,NA,
gzfh_ld_8,N,Y,0,NA,
gzfh_ld_9,Y,Y,1,sgl,
gzfh_ld_10,N,Y,0,NA,
gzfh_ld_11,Y,Y,1,sgl,
gzfh_ld_12,Y,Y,1,sgl,
gzfh_ld_13,Y,Y,1,sgl,
gzfh_ld_14,N,Y,0,NA,
gzfh_ld_15,Y,Y,1,sgl,
gzfh_ld_16,N,Y,0,NA,
gzfh_ld_17,Y,Y,1,sgl,
gzfh_ld_18,N,Y,0,NA,
gzfh_ld_19,Y,Y,1,sgl,
gzfh_ld_20,N,Y,0,NA,
gzfh_ld_21,Y,Y,1,sgl,
gzfh_ld_22,N,Y,0,NA,
gzfh_ld_23,Y,Y,1,sgl,
gzfh_ld_24,Y,Y,1,sgl,
gzfh_ld_25,Y,Y,1,sgl,
gzfh_ld_26,N,Y,0,NA,
gzfh_ld_27,Y,Y,1,sgl,
gzfh_ld_28,Y,Y,1,sgl,
gzfh_ld_29,Y,Y,1,sgl,
gzfh_ld_30,N,Y,0,NA,
gzfh_ld_31,Y,Y,1,sgl,
gzfh_ld_32,N,Y,0,NA,
gzfh_ld_33,Y,Y,1,sgl,
gzfh_ld_34,N,Y,0,NA,
gzfh_ld_35,Y,Y,1,sgl,
gzfh_ld_36,N,Y,0,NA,
gzfh_ld_37,Y,Y,1,sgl,
gzfh_ld_38,N,Y,0,NA,
gzfh_ld_39,Y,Y,1,sgl,
gzfh_ld_40,N,Y,0,NA,
gzfh_ld_41,Y,Y,1,sgl,
gzfh_ld_42,N,Y,0,NA,
gzfh_ld_43,Y,Y,1,sgl,
gzfh_ld_44,N,Y,0,NA,
gzfh_ld_45,Y,Y,1,sgl,
gzfh_ld_46,Y,Y,1,sgl,
gzfh_ld_47,Y,Y,1,sgl,
gzfh_ld_48,N,Y,0,NA,
gzfh_ld_49,Y,Y,1,sgl,
gzfh_ld_50,N,Y,0,NA,
gzfh_ld_51,Y,Y,1,sgl,
gzfh_ld_52,N,Y,0,NA,
gzfh_ld_53,Y,Y,1,sgl,
gzfh_ld_54,Y,Y,1,sgl,
gzfh_ld_55,Y,Y,1,sgl,
gzfh_ld_56,N,Y,0,NA,
gzfh_ld_57,Y,Y,1,sgl,
gzfh_ld_58,N,Y,0,NA,
gzfh_ld_59,Y,Y,1,sgl,
gzfh_ld_60,N,Y,0,NA,
gzfh_ld_61,Y,Y,1,sgl,
gzfh_ld_62,Y,Y,1,sgl,
gzfh_ld_63,Y,Y,1,sgl,
gzfh_ld_64,N,Y,0,NA,
gzfh_ld_65,Y,Y,1,sgl,
gzfh_ld_66,N,Y,0,NA,
gzfh_ld_67,Y,Y,1,sgl,
gzfh_ld_68,N,Y,0,NA,
gzfh_ld_69,Y,Y,1,sgl,
gzfh_ld_70,N,Y,0,NA,
gzfh_ld_71,Y,Y,1,sgl,
gzfh_ld_72,N,Y,0,NA,
gzfh_ld_73,Y,Y,1,sgl,
gzfh_ld_74,N,Y,0,NA,
gzfh_ld_75,Y,Y,1,sgl,
gzfh_ld_76,N,Y,0,NA,
gzfh_ld_77,Y,Y,1,sgl,
gzfh_ld_78,N,Y,0,NA,
