pageID,has_image,has_text,count_of_image,img_layout,error
jx_mg_vol002_1,N,N,0,NA,
jx_mg_vol002_2,N,Y,0,NA,
jx_mg_vol002_3,N,Y,0,NA,
jx_mg_vol002_4,N,N,0,NA,
jx_mg_vol002_5,N,Y,0,NA,
jx_mg_vol002_6,N,Y,0,NA,
jx_mg_vol002_7,N,Y,0,NA,
jx_mg_vol002_8,N,Y,0,NA,
jx_mg_vol002_9,N,Y,0,NA,
jx_mg_vol002_10,N,Y,0,NA,
jx_mg_vol002_11,N,Y,0,NA,
jx_mg_vol002_12,N,Y,0,NA,
jx_mg_vol002_13,Y,Y,1,sgl,
jx_mg_vol002_14,Y,Y,1,sgl,
jx_mg_vol002_15,Y,Y,2,td,
jx_mg_vol002_16,Y,Y,1,sgl,
jx_mg_vol002_17,N,Y,0,NA,
jx_mg_vol002_18,N,Y,0,NA,
jx_mg_vol002_19,N,Y,0,NA,
