pageID,has_image,has_text,count_of_image,img_layout,error
jx_rep_1,N,Y,0,NA,
jx_rep_2,N,Y,0,NA,
jx_rep_3,N,Y,0,NA,
jx_rep_4,N,Y,0,NA,
jx_rep_5,N,Y,0,NA,
jx_rep_6,N,Y,0,NA,
jx_rep_7,N,Y,0,NA,
jx_rep_8,N,Y,0,NA,
jx_rep_9,N,Y,0,NA,
jx_rep_10,N,Y,0,NA,
jx_rep_11,N,Y,0,NA,
jx_rep_12,N,Y,0,NA,
jx_rep_13,N,Y,0,NA,
jx_rep_14,N,Y,0,NA,
jx_rep_15,N,Y,0,NA,
jx_rep_16,N,Y,0,NA,
jx_rep_17,N,Y,0,NA,
jx_rep_18,N,Y,0,NA,
jx_rep_19,N,Y,0,NA,
jx_rep_20,N,Y,0,NA,
jx_rep_21,N,Y,0,NA,
jx_rep_22,N,Y,0,NA,
jx_rep_23,N,Y,0,NA,
jx_rep_24,N,Y,0,NA,
jx_rep_25,N,Y,0,NA,
jx_rep_26,N,Y,0,NA,
jx_rep_27,N,Y,0,NA,
jx_rep_28,N,Y,0,NA,
jx_rep_29,N,Y,0,NA,
jx_rep_30,N,Y,0,NA,
jx_rep_31,N,Y,0,NA,
jx_rep_32,N,Y,0,NA,
jx_rep_33,N,Y,0,NA,
jx_rep_34,N,Y,0,NA,
jx_rep_35,N,Y,0,NA,
jx_rep_36,N,Y,0,NA,
jx_rep_37,N,Y,0,NA,
jx_rep_38,N,Y,0,NA,
jx_rep_39,N,Y,0,NA,
jx_rep_40,N,Y,0,NA,
jx_rep_41,N,Y,0,NA,
jx_rep_42,N,Y,0,NA,
jx_rep_43,N,Y,0,NA,
jx_rep_44,N,Y,0,NA,
jx_rep_45,N,Y,0,NA,
jx_rep_46,N,Y,0,NA,
jx_rep_47,N,Y,0,NA,
jx_rep_48,N,Y,0,NA,
jx_rep_49,N,Y,0,NA,
jx_rep_50,N,Y,0,NA,
jx_rep_51,N,Y,0,NA,
jx_rep_52,N,Y,0,NA,
jx_rep_53,N,Y,0,NA,
jx_rep_54,N,Y,0,NA,
jx_rep_55,N,Y,0,NA,
jx_rep_56,N,Y,0,NA,
jx_rep_57,N,Y,0,NA,
jx_rep_58,Y,Y,1,sgl,
jx_rep_59,Y,Y,2,td,
jx_rep_60,Y,Y,1,sgl,
jx_rep_61,Y,Y,2,td,
jx_rep_62,Y,Y,1,sgl,
jx_rep_63,Y,Y,1,sgl,
jx_rep_64,Y,Y,1,sgl,
jx_rep_65,Y,Y,1,sgl,
jx_rep_66,N,Y,0,NA,
jx_rep_67,N,Y,0,NA,
