pageID,has_image,has_text,count_of_image,img_layout,error
sec_cq_1,N,Y,0,NA,
sec_cq_2,Y,Y,1,sgl,
sec_cq_3,N,Y,0,NA,
sec_cq_4,N,Y,0,NA,
sec_cq_5,N,Y,0,NA,
sec_cq_6,N,Y,0,NA,
sec_cq_7,N,Y,0,NA,
sec_cq_8,,,,,API error 400
sec_cq_9,N,Y,0,NA,
sec_cq_10,,,,,API error 400
sec_cq_11,Y,Y,1,sgl,
sec_cq_12,Y,Y,1,sgl,
sec_cq_13,Y,Y,1,sgl,
sec_cq_14,Y,Y,1,sgl,
sec_cq_15,N,Y,0,NA,
sec_cq_16,N,Y,0,NA,
sec_cq_17,N,Y,0,NA,
sec_cq_18,N,Y,0,NA,
sec_cq_19,N,Y,0,NA,
sec_cq_20,N,Y,0,NA,
sec_cq_21,N,Y,0,NA,
sec_cq_22,N,Y,0,NA,
sec_cq_23,N,Y,0,NA,
sec_cq_24,N,Y,0,NA,
sec_cq_25,N,Y,0,NA,
sec_cq_26,N,Y,0,NA,
sec_cq_27,N,Y,0,NA,
sec_cq_28,N,Y,0,NA,
sec_cq_29,N,Y,0,NA,
sec_cq_30,N,Y,0,NA,
sec_cq_31,N,Y,0,NA,
sec_cq_32,N,Y,0,NA,
sec_cq_33,N,Y,0,NA,
sec_cq_34,N,Y,0,NA,
sec_cq_35,N,Y,0,NA,
sec_cq_36,N,Y,0,NA,
sec_cq_37,N,Y,0,NA,
sec_cq_38,N,Y,0,NA,
sec_cq_39,N,Y,0,NA,
sec_cq_40,N,Y,0,NA,
sec_cq_41,N,Y,0,NA,
sec_cq_42,N,Y,0,NA,
sec_cq_43,N,Y,0,NA,
sec_cq_44,N,Y,0,NA,
sec_cq_45,N,Y,0,NA,
sec_cq_46,N,Y,0,NA,
sec_cq_47,N,Y,0,NA,
sec_cq_48,N,Y,0,NA,
sec_cq_49,Y,Y,1,sgl,
sec_cq_50,Y,Y,1,sgl,
sec_cq_51,Y,Y,1,sgl,
sec_cq_52,Y,Y,1,sgl,
sec_cq_53,Y,Y,1,sgl,
sec_cq_54,Y,Y,1,sgl,
sec_cq_55,Y,Y,1,sgl,
sec_cq_56,Y,Y,1,sgl,
sec_cq_57,Y,Y,1,sgl,
sec_cq_58,Y,Y,1,sgl,
sec_cq_59,Y,Y,1,sgl,
sec_cq_60,Y,Y,1,sgl,
sec_cq_61,Y,Y,1,sgl,
sec_cq_62,Y,Y,1,sgl,
sec_cq_63,Y,Y,1,sgl,
sec_cq_64,Y,Y,1,sgl,
sec_cq_65,Y,Y,1,sgl,
sec_cq_66,Y,Y,1,sgl,
sec_cq_67,Y,Y,1,sgl,
sec_cq_68,Y,Y,1,sgl,
