pageID,has_image,has_text,count_of_image,img_layout,error
bl_mg_1,Y,Y,1,sgl,
bl_mg_2,N,Y,0,NA,
bl_mg_3,N,Y,0,NA,
bl_mg_4,N,N,0,NA,
bl_mg_5,N,Y,0,NA,
bl_mg_6,Y,Y,1,sgl,
bl_mg_7,Y,Y,1,sgl,
bl_mg_8,Y,Y,1,sgl,
bl_mg_9,Y,Y,1,sgl,
bl_mg_10,Y,Y,1,sgl,
bl_mg_11,Y,Y,1,sgl,
bl_mg_12,Y,Y,1,sgl,
bl_mg_13,Y,Y,1,sgl,
bl_mg_14,N,Y,0,NA,
bl_mg_15,N,Y,0,NA,
bl_mg_16,Y,Y,1,sgl,
bl_mg_17,N,Y,0,NA,
bl_mg_18,Y,Y,1,sgl,
bl_mg_19,Y,Y,1,sgl,
bl_mg_20,Y,Y,1,sgl,
bl_mg_21,Y,Y,1,sgl,
bl_mg_22,Y,Y,1,sgl,
bl_mg_23,Y,Y,1,sgl,
bl_mg_24,N,Y,0,NA,
bl_mg_25,N,Y,0,NA,
bl_mg_26,N,Y,0,NA,
bl_mg_27,N,Y,0,NA,
bl_mg_28,N,Y,0,NA,
bl_mg_29,N,Y,0,NA,
bl_mg_30,N,Y,0,NA,
bl_mg_31,N,Y,0,NA,
bl_mg_32,N,Y,0,NA,
bl_mg_33,N,Y,0,NA,
bl_mg_34,Y,Y,1,sgl,
bl_mg_35,Y,Y,1,sgl,
bl_mg_36,Y,Y,1,sgl,
bl_mg_37,Y,Y,1,sgl,
bl_mg_38,Y,Y,1,sgl,
bl_mg_39,Y,Y,1,sgl,
bl_mg_40,Y,Y,1,sgl,
bl_mg_41,Y,Y,1,sgl,
bl_mg_42,Y,Y,1,sgl,
bl_mg_43,Y,Y,1,sgl,
bl_mg_44,Y,Y,1,sgl,
bl_mg_45,Y,Y,1,sgl,
bl_mg_46,Y,Y,1,sgl,
bl_mg_47,Y,Y,1,sgl,
bl_mg_48,Y,Y,1,sgl,
bl_mg_49,Y,Y,1,sgl,
bl_mg_50,Y,Y,1,sgl,
bl_mg_51,Y,Y,1,sgl,
bl_mg_52,Y,Y,1,sgl,
bl_mg_53,Y,Y,1,sgl,
bl_mg_54,Y,Y,1,sgl,
bl_mg_55,Y,Y,1,sgl,
bl_mg_56,Y,Y,1,sgl,
bl_mg_57,Y,Y,1,sgl,
bl_mg_58,Y,Y,1,sgl,
bl_mg_59,Y,Y,1,sgl,
bl_mg_60,N,Y,0,NA,
bl_mg_61,Y,Y,1,sgl,
bl_mg_62,N,Y,0,NA,
bl_mg_63,N,Y,0,NA,
bl_mg_64,N,Y,0,NA,
bl_mg_65,N,Y,0,NA,
bl_mg_66,N,Y,0,NA,
bl_mg_67,Y,Y,1,sgl,
bl_mg_68,Y,Y,2,td,
bl_mg_69,Y,Y,1,sgl,
bl_mg_70,Y,Y,1,sgl,
bl_mg_71,Y,Y,1,sgl,
bl_mg_72,Y,Y,1,sgl,
bl_mg_73,Y,Y,1,sgl,
bl_mg_74,Y,Y,1,sgl,
bl_mg_75,Y,Y,1,sgl,
bl_mg_76,N,Y,0,NA,
bl_mg_77,N,Y,0,NA,
bl_mg_78,N,Y,0,NA,
bl_mg_79,Y,Y,2,td,
bl_mg_80,Y,Y,2,td,
bl_mg_81,Y,Y,2,lr,
bl_mg_82,Y,Y,2,td,
bl_mg_83,Y,Y,2,lr,
bl_mg_84,Y,Y,2,td,
bl_mg_85,Y,Y,2,td,
bl_mg_86,Y,Y,2,td,
bl_mg_87,Y,Y,2,td,
bl_mg_88,Y,Y,2,td,
bl_mg_89,Y,Y,2,lr,
bl_mg_90,Y,Y,2,td,
bl_mg_91,Y,Y,2,lr,
bl_mg_92,Y,Y,2,td,
bl_mg_93,Y,Y,2,lr,
bl_mg_94,Y,Y,2,lr,
bl_mg_95,N,Y,0,NA,
bl_mg_96,N,N,0,NA,
bl_mg_97,N,N,0,NA,
bl_mg_98,N,N,0,NA,
bl_mg_99,Y,Y,1,sgl,
bl_mg_100,N,Y,0,NA,
bl_mg_101,N,Y,0,NA,
bl_mg_102,N,N,0,NA,
bl_mg_103,N,N,0,NA,
bl_mg_104,Y,Y,1,sgl,
bl_mg_105,N,Y,0,NA,
bl_mg_106,N,Y,0,NA,
bl_mg_107,N,Y,0,NA,
bl_mg_108,N,Y,0,NA,
bl_mg_109,Y,Y,1,sgl,
bl_mg_110,N,Y,0,NA,
bl_mg_111,N,Y,0,NA,
bl_mg_112,N,Y,0,NA,
bl_mg_113,Y,Y,1,sgl,
bl_mg_114,N,Y,0,NA,
bl_mg_115,N,Y,0,NA,
bl_mg_116,N,Y,0,NA,
bl_mg_117,Y,Y,1,sgl,
bl_mg_118,Y,Y,1,sgl,
bl_mg_119,N,Y,0,NA,
bl_mg_120,N,Y,0,NA,
bl_mg_121,N,Y,0,NA,
bl_mg_122,N,Y,0,NA,
bl_mg_123,N,Y,0,NA,
bl_mg_124,N,Y,0,NA,
bl_mg_125,N,Y,0,NA,
bl_mg_126,N,Y,0,NA,
bl_mg_127,Y,Y,1,sgl,
bl_mg_128,Y,Y,1,sgl,
bl_mg_129,Y,Y,1,sgl,
bl_mg_130,Y,Y,1,sgl,
bl_mg_131,Y,Y,1,sgl,
bl_mg_132,Y,Y,1,sgl,
bl_mg_133,Y,Y,1,sgl,
bl_mg_134,Y,Y,1,sgl,
bl_mg_135,Y,Y,1,sgl,
bl_mg_136,Y,Y,1,sgl,
bl_mg_137,Y,Y,1,sgl,
bl_mg_138,Y,Y,1,sgl,
bl_mg_139,Y,Y,1,sgl,
bl_mg_140,Y,Y,1,sgl,
bl_mg_141,Y,Y,1,sgl,
bl_mg_142,Y,Y,1,sgl,
bl_mg_143,Y,Y,1,sgl,
bl_mg_144,Y,Y,1,sgl,
bl_mg_145,Y,Y,1,sgl,
bl_mg_146,Y,Y,1,sgl,
bl_mg_147,Y,Y,1,sgl,
bl_mg_148,Y,Y,1,sgl,
bl_mg_149,Y,Y,1,sgl,
bl_mg_150,Y,Y,1,sgl,
bl_mg_151,Y,Y,1,sgl,
bl_mg_152,Y,Y,1,sgl,
bl_mg_153,Y,Y,1,sgl,
bl_mg_154,Y,Y,1,sgl,
bl_mg_155,Y,Y,1,sgl,
bl_mg_156,Y,Y,1,sgl,
bl_mg_157,Y,Y,1,sgl,
bl_mg_158,Y,Y,1,sgl,
bl_mg_159,Y,Y,1,sgl,
bl_mg_160,Y,Y,1,sgl,
bl_mg_161,Y,Y,1,sgl,
