pageID,has_image,has_text,count_of_image,img_layout,error
gy_mg_1,N,Y,0,NA,
gy_mg_2,N,Y,0,NA,
gy_mg_3,N,N,0,NA,
gy_mg_4,Y,Y,1,sgl,
gy_mg_5,N,N,0,NA,
gy_mg_6,Y,Y,1,sgl,
gy_mg_7,Y,Y,1,sgl,
gy_mg_8,Y,Y,1,sgl,
gy_mg_9,N,Y,0,NA,
gy_mg_10,N,Y,0,NA,
gy_mg_11,N,Y,0,NA,
gy_mg_12,N,Y,0,NA,
gy_mg_13,N,Y,0,NA,
gy_mg_14,N,Y,0,NA,
gy_mg_15,N,Y,0,NA,
gy_mg_16,N,Y,0,NA,
gy_mg_17,N,Y,0,NA,
gy_mg_18,N,Y,0,NA,
gy_mg_19,N,Y,0,NA,
gy_mg_20,N,Y,0,NA,
gy_mg_21,N,Y,0,NA,
gy_mg_22,N,Y,0,NA,
gy_mg_23,N,Y,0,NA,
gy_mg_24,N,Y,0,NA,
gy_mg_25,N,Y,0,NA,
gy_mg_26,Y,Y,1,sgl,
gy_mg_27,N,Y,0,NA,
gy_mg_28,N,Y,0,NA,
gy_mg_29,N,Y,0,NA,
gy_mg_30,N,Y,0,NA,
gy_mg_31,N,Y,0,NA,
gy_mg_32,N,Y,0,NA,
gy_mg_33,N,Y,0,NA,
gy_mg_34,N,Y,0,NA,
gy_mg_35,N,Y,0,NA,
gy_mg_36,Y,Y,1,sgl,
gy_mg_37,N,Y,0,NA,
gy_mg_38,Y,Y,1,sgl,
gy_mg_39,N,Y,0,NA,
gy_mg_40,N,Y,0,NA,
gy_mg_41,N,Y,0,NA,
gy_mg_42,N,Y,0,NA,
gy_mg_43,N,Y,0,NA,
gy_mg_44,Y,Y,1,sgl,
gy_mg_45,Y,Y,1,sgl,
gy_mg_46,Y,Y,1,sgl,
gy_mg_47,Y,Y,1,sgl,
gy_mg_48,N,Y,0,NA,
gy_mg_49,Y,Y,1,sgl,
gy_mg_50,Y,Y,1,sgl,
gy_mg_51,Y,Y,4,td,
gy_mg_52,Y,Y,2,td,
gy_mg_53,Y,Y,4,td,
gy_mg_54,N,Y,0,NA,
gy_mg_55,N,Y,0,NA,
gy_mg_56,Y,Y,1,sgl,
gy_mg_57,N,Y,0,NA,
gy_mg_58,N,Y,0,NA,
gy_mg_59,N,Y,0,NA,
gy_mg_60,Y,Y,1,sgl,
gy_mg_61,Y,Y,1,sgl,
gy_mg_62,N,Y,0,NA,
gy_mg_63,Y,Y,1,sgl,
gy_mg_64,Y,Y,1,sgl,
gy_mg_65,Y,Y,1,sgl,
gy_mg_66,Y,Y,1,sgl,
gy_mg_67,Y,Y,1,sgl,
gy_mg_68,Y,Y,1,sgl,
gy_mg_69,N,Y,0,NA,
gy_mg_70,Y,Y,1,sgl,
gy_mg_71,Y,Y,1,sgl,
gy_mg_72,Y,Y,1,sgl,
gy_mg_73,Y,Y,3,td,
gy_mg_74,Y,Y,1,sgl,
gy_mg_75,Y,Y,1,sgl,
gy_mg_76,Y,Y,1,sgl,
