pageID,has_image,has_text,count_of_image,img_layout,error
jx_mg_vol001_1,N,N,0,NA,
jx_mg_vol001_2,N,Y,0,NA,
jx_mg_vol001_3,N,Y,0,NA,
jx_mg_vol001_4,N,Y,0,NA,
jx_mg_vol001_5,N,Y,0,NA,
jx_mg_vol001_6,N,Y,0,NA,
jx_mg_vol001_7,N,Y,0,NA,
jx_mg_vol001_8,N,Y,0,NA,
jx_mg_vol001_9,N,Y,0,NA,
jx_mg_vol001_10,N,Y,0,NA,
jx_mg_vol001_11,N,Y,0,NA,
jx_mg_vol001_12,N,Y,0,NA,
jx_mg_vol001_13,N,Y,0,NA,
jx_mg_vol001_14,N,Y,0,NA,
jx_mg_vol001_15,N,Y,0,NA,
jx_mg_vol001_16,N,Y,0,NA,
jx_mg_vol001_17,N,Y,0,NA,
jx_mg_vol001_18,N,Y,0,NA,
jx_mg_vol001_19,N,Y,0,NA,
jx_mg_vol001_20,N,Y,0,NA,
jx_mg_vol001_21,N,Y,0,NA,
jx_mg_vol001_22,N,Y,0,NA,
jx_mg_vol001_23,N,Y,0,NA,
jx_mg_vol001_24,N,Y,0,NA,
jx_mg_vol001_25,N,Y,0,NA,
jx_mg_vol001_26,Y,Y,1,sgl,
jx_mg_vol001_27,N,Y,0,NA,
jx_mg_vol001_28,Y,Y,1,sgl,
jx_mg_vol001_29,N,Y,0,NA,
jx_mg_vol001_30,Y,Y,1,sgl,
jx_mg_vol001_31,N,Y,0,NA,
jx_mg_vol001_32,Y,Y,1,sgl,
jx_mg_vol001_33,Y,Y,1,sgl,
jx_mg_vol001_34,Y,Y,1,sgl,
jx_mg_vol001_35,Y,Y,1,sgl,
jx_mg_vol001_36,Y,Y,1,sgl,
jx_mg_vol001_37,N,N,0,NA,
jx_mg_vol001_38,N,Y,0,NA,
jx_mg_vol001_39,N,N,0,NA,
jx_mg_vol002_1,N,Y,0,NA,
jx_mg_vol002_2,N,Y,0,NA,
jx_mg_vol002_3,N,Y,0,NA,
jx_mg_vol002_4,N,Y,0,NA,
jx_mg_vol002_5,N,Y,0,NA,
jx_mg_vol002_6,N,Y,0,NA,
jx_mg_vol002_7,N,Y,0,NA,
jx_mg_vol002_8,N,Y,0,NA,
jx_mg_vol002_9,N,Y,0,NA,
jx_mg_vol002_10,N,Y,0,NA,
jx_mg_vol002_11,N,Y,0,NA,
jx_mg_vol002_12,N,Y,0,NA,
jx_mg_vol002_13,Y,Y,1,sgl,
jx_mg_vol002_14,Y,Y,1,sgl,
jx_mg_vol002_15,Y,Y,2,td,
jx_mg_vol002_16,Y,Y,1,sgl,
jx_mg_vol002_17,N,Y,0,NA,
jx_mg_vol002_18,N,Y,0,NA,
jx_mg_vol002_19,N,Y,0,NA,
jx_mg_vol003_1,N,N,0,NA,
jx_mg_vol003_2,N,Y,0,NA,
jx_mg_vol003_3,N,Y,0,NA,
jx_mg_vol003_4,N,Y,0,NA,
jx_mg_vol003_5,N,Y,0,NA,
jx_mg_vol003_6,N,Y,0,NA,
jx_mg_vol003_7,N,Y,0,NA,
jx_mg_vol003_8,N,Y,0,NA,
jx_mg_vol003_9,N,Y,0,NA,
jx_mg_vol003_10,N,Y,0,NA,
jx_mg_vol003_11,N,Y,0,NA,
jx_mg_vol003_12,N,Y,0,NA,
jx_mg_vol005_1,N,Y,0,NA,
jx_mg_vol005_2,N,Y,0,NA,
jx_mg_vol005_3,N,Y,0,NA,
jx_mg_vol005_4,N,Y,0,NA,
jx_mg_vol005_5,N,Y,0,NA,
jx_mg_vol005_6,N,Y,0,NA,
jx_mg_vol005_7,N,Y,0,NA,
jx_mg_vol005_8,N,Y,0,NA,
jx_mg_vol010_1,N,Y,0,NA,
jx_mg_vol010_2,N,Y,0,NA,
jx_mg_vol010_3,N,Y,0,NA,
jx_mg_vol010_4,N,Y,0,NA,
jx_mg_vol010_5,N,Y,0,NA,
jx_mg_vol010_6,N,Y,0,NA,
jx_mg_vol010_7,N,Y,0,NA,
jx_mg_vol010_8,N,Y,0,NA,
jx_mg_vol010_9,N,Y,0,NA,
jx_mg_vol010_10,N,Y,0,NA,
jx_mg_vol010_11,N,Y,0,NA,
jx_mg_vol010_12,N,Y,0,NA,
jx_mg_vol010_13,N,N,0,NA,
jx_mg_vol010_14,Y,Y,1,sgl,
jx_mg_vol010_15,Y,Y,1,sgl,
jx_mg_vol010_16,Y,Y,1,sgl,
jx_mg_vol010_17,Y,Y,1,sgl,
jx_mg_vol010_18,Y,Y,1,sgl,
jx_mg_vol010_19,Y,Y,1,sgl,
jx_mg_vol010_20,Y,Y,1,sgl,
jx_mg_vol010_21,Y,Y,1,sgl,
jx_mg_vol010_22,Y,Y,1,sgl,
jx_mg_vol010_23,Y,Y,1,sgl,
jx_mg_vol010_24,Y,Y,1,sgl,
jx_mg_vol010_25,Y,Y,1,sgl,
jx_mg_vol010_26,Y,Y,1,sgl,
jx_mg_vol010_27,Y,Y,1,sgl,
jx_mg_vol010_28,Y,Y,1,sgl,
jx_mg_vol010_29,Y,Y,1,sgl,
jx_mg_vol010_30,Y,Y,1,sgl,
jx_mg_vol010_31,Y,Y,1,sgl,
jx_mg_vol010_32,Y,Y,1,sgl,
jx_mg_vol010_33,Y,Y,1,sgl,
jx_mg_vol010_34,Y,Y,1,sgl,
jx_mg_vol010_35,Y,Y,1,sgl,
jx_mg_vol010_36,Y,Y,1,sgl,
jx_mg_vol011_1,N,N,0,NA,
jx_mg_vol011_2,Y,Y,1,sgl,
jx_mg_vol011_3,N,Y,0,NA,
jx_mg_vol011_4,N,Y,0,NA,
jx_mg_vol011_5,Y,Y,1,sgl,
jx_mg_vol011_6,Y,Y,1,sgl,
jx_mg_vol011_7,Y,Y,1,sgl,
jx_mg_vol011_8,Y,Y,1,sgl,
jx_mg_vol011_9,Y,Y,1,sgl,
jx_mg_vol011_10,Y,Y,1,sgl,
jx_mg_vol011_11,Y,Y,1,sgl,
jx_mg_vol011_12,Y,Y,1,sgl,
jx_mg_vol011_13,Y,Y,1,sgl,
jx_mg_vol011_14,Y,Y,1,sgl,
jx_mg_vol011_15,N,Y,0,NA,
jx_mg_vol011_16,N,Y,0,NA,
jx_mg_vol011_17,N,Y,0,NA,
jx_mg_vol011_18,Y,Y,1,sgl,
jx_mg_vol011_19,Y,Y,1,sgl,
jx_mg_vol011_20,Y,Y,1,sgl,
jx_mg_vol011_21,Y,Y,1,sgl,
jx_mg_vol011_22,Y,Y,1,sgl,
jx_mg_vol011_23,Y,Y,1,sgl,
jx_mg_vol011_24,N,Y,0,NA,
jx_mg_vol011_25,N,N,0,NA,
jx_mg_vol011_26,N,N,0,NA,
jx_mg_vol011_27,N,N,0,NA,
jx_mg_vol012_1,N,Y,0,NA,
jx_mg_vol012_2,N,Y,0,NA,
jx_mg_vol012_3,N,Y,0,NA,
jx_mg_vol012_4,N,Y,0,NA,
jx_mg_vol012_5,N,Y,0,NA,
jx_mg_vol012_6,N,Y,0,NA,
jx_mg_vol012_7,N,Y,0,NA,
jx_mg_vol012_8,N,Y,0,NA,
jx_mg_vol012_9,N,Y,0,NA,
jx_mg_vol012_10,N,Y,0,NA,
jx_mg_vol012_11,N,Y,0,NA,
jx_mg_vol012_12,N,Y,0,NA,
jx_mg_vol012_13,N,Y,0,NA,
jx_mg_vol012_14,N,Y,0,NA,
jx_mg_vol012_15,N,Y,0,NA,
jx_mg_vol012_16,N,Y,0,NA,
jx_mg_vol012_17,N,Y,0,NA,
jx_mg_vol012_18,N,Y,0,NA,
jx_mg_vol012_19,N,Y,0,NA,
jx_mg_vol012_20,N,Y,0,NA,
jx_mg_vol012_21,N,Y,0,NA,
jx_mg_vol012_22,N,Y,0,NA,
jx_mg_vol012_23,N,Y,0,NA,
jx_mg_vol012_24,N,Y,0,NA,
jx_mg_vol012_25,N,Y,0,NA,
jx_mg_vol012_26,N,Y,0,NA,
jx_mg_vol012_27,N,Y,0,NA,
jx_mg_vol012_28,N,Y,0,NA,
jx_mg_vol012_29,N,Y,0,NA,
jx_mg_vol012_30,N,Y,0,NA,
jx_mg_vol012_31,Y,Y,1,sgl,
jx_mg_vol012_32,N,Y,0,NA,
jx_mg_vol012_33,N,Y,0,NA,
jx_mg_vol012_34,N,Y,0,NA,
jx_mg_vol012_35,N,Y,0,NA,
jx_mg_vol012_36,N,Y,0,NA,
jx_mg_vol012_37,Y,Y,1,sgl,
jx_mg_vol012_38,Y,Y,1,sgl,
jx_mg_vol012_39,Y,Y,1,sgl,
jx_mg_vol012_40,N,Y,0,NA,
jx_mg_vol012_41,N,Y,0,NA,
jx_mg_vol012_42,N,Y,0,NA,
jx_mg_vol012_43,N,Y,0,NA,
jx_mg_vol012_44,N,Y,0,NA,
jx_mg_vol012_45,N,Y,0,NA,
jx_mg_vol012_46,N,Y,0,NA,
jx_mg_vol012_47,N,Y,0,NA,
jx_mg_vol012_48,N,Y,0,NA,
jx_mg_vol012_49,N,Y,0,NA,
jx_mg_vol012_50,N,Y,0,NA,
jx_mg_vol012_51,N,Y,0,NA,
jx_mg_vol012_52,N,Y,0,NA,
jx_mg_vol012_53,N,Y,0,NA,
jx_mg_vol012_54,Y,Y,1,sgl,
jx_mg_vol012_55,Y,Y,1,sgl,
jx_mg_vol012_56,Y,Y,1,sgl,
jx_mg_vol012_57,Y,Y,1,sgl,
jx_mg_vol012_58,Y,Y,1,sgl,
jx_mg_vol012_59,Y,Y,1,sgl,
jx_mg_vol012_60,Y,Y,1,sgl,
jx_mg_vol012_61,Y,Y,1,sgl,
jx_mg_vol012_62,Y,Y,1,sgl,
jx_mg_vol012_63,Y,Y,1,sgl,
jx_mg_vol012_64,Y,Y,1,sgl,
jx_mg_vol012_65,Y,Y,1,sgl,
jx_mg_vol012_66,Y,Y,1,sgl,
jx_mg_vol012_67,Y,Y,1,sgl,
jx_mg_vol013_1,N,Y,0,NA,
jx_mg_vol013_2,N,Y,0,NA,
jx_mg_vol013_3,N,Y,0,NA,
jx_mg_vol013_4,N,Y,0,NA,
jx_mg_vol013_5,N,Y,0,NA,
jx_mg_vol013_6,N,Y,0,NA,
jx_mg_vol013_7,N,Y,0,NA,
jx_mg_vol013_8,N,Y,0,NA,
jx_mg_vol013_9,N,Y,0,NA,
jx_mg_vol013_10,N,Y,0,NA,
jx_mg_vol013_11,N,N,0,NA,
jx_mg_vol013_12,Y,Y,2,lr,
jx_mg_vol019_1,N,Y,0,NA,
jx_mg_vol019_2,N,N,0,NA,
jx_mg_vol019_3,Y,Y,1,sgl,
jx_mg_vol019_4,N,Y,0,NA,
