pageID,has_image,has_text,count_of_image,img_layout,error
jx_mg_vol011_1,N,N,0,NA,
jx_mg_vol011_2,Y,Y,1,sgl,
jx_mg_vol011_3,N,Y,0,NA,
jx_mg_vol011_4,N,Y,0,NA,
jx_mg_vol011_5,Y,Y,1,sgl,
jx_mg_vol011_6,Y,Y,1,sgl,
jx_mg_vol011_7,Y,Y,1,sgl,
jx_mg_vol011_8,Y,Y,1,sgl,
jx_mg_vol011_9,Y,Y,1,sgl,
jx_mg_vol011_10,Y,Y,1,sgl,
jx_mg_vol011_11,Y,Y,1,sgl,
jx_mg_vol011_12,Y,Y,1,sgl,
jx_mg_vol011_13,Y,Y,1,sgl,
jx_mg_vol011_14,Y,Y,1,sgl,
jx_mg_vol011_15,N,Y,0,NA,
jx_mg_vol011_16,N,Y,0,NA,
jx_mg_vol011_17,N,Y,0,NA,
jx_mg_vol011_18,Y,Y,1,sgl,
jx_mg_vol011_19,Y,Y,1,sgl,
jx_mg_vol011_20,Y,Y,1,sgl,
jx_mg_vol011_21,Y,Y,1,sgl,
jx_mg_vol011_22,Y,Y,1,sgl,
jx_mg_vol011_23,Y,Y,1,sgl,
jx_mg_vol011_24,N,Y,0,NA,
jx_mg_vol011_25,N,N,0,NA,
jx_mg_vol011_26,N,N,0,NA,
jx_mg_vol011_27,N,N,0,NA,
