pageID,has_image,has_text,count_of_image,img_layout,error
sbl_v2_1,Y,Y,3,td,
sbl_v2_2,Y,Y,6,td,
sbl_v2_3,N,Y,0,NA,
sbl_v2_4,N,Y,0,NA,
sbl_v2_5,N,Y,0,NA,
sbl_v2_6,N,Y,0,NA,
sbl_v2_7,N,Y,0,NA,
sbl_v2_8,N,Y,0,NA,
sbl_v2_9,N,Y,0,NA,
sbl_v2_10,N,Y,0,NA,
sbl_v2_11,N,Y,0,NA,
sbl_v2_12,N,Y,0,NA,
sbl_v2_13,N,Y,0,NA,
sbl_v2_14,N,Y,0,NA,
sbl_v2_15,N,Y,0,NA,
sbl_v2_16,N,Y,0,NA,
sbl_v2_17,Y,Y,1,sgl,
sbl_v2_18,Y,Y,1,sgl,
sbl_v2_19,Y,Y,1,sgl,
sbl_v2_20,Y,Y,1,sgl,
sbl_v2_21,Y,Y,1,sgl,
sbl_v2_22,Y,Y,1,sgl,
sbl_v2_23,Y,Y,1,sgl,
sbl_v2_24,N,Y,0,NA,
sbl_v2_25,Y,Y,1,sgl,
sbl_v2_26,Y,Y,1,sgl,
sbl_v2_27,Y,Y,1,sgl,
sbl_v2_28,Y,Y,1,sgl,
sbl_v2_29,Y,Y,1,sgl,
sbl_v2_30,Y,Y,1,sgl,
sbl_v2_31,Y,Y,1,sgl,
sbl_v2_32,Y,Y,1,sgl,
sbl_v2_33,Y,Y,1,sgl,
sbl_v2_34,Y,Y,1,sgl,
sbl_v2_35,Y,Y,1,sgl,
sbl_v2_36,Y,Y,1,sgl,
sbl_v2_37,Y,Y,1,sgl,
sbl_v2_38,N,Y,0,NA,
sbl_v2_39,N,Y,0,NA,
sbl_v2_40,N,Y,0,NA,
sbl_v2_41,N,Y,0,NA,
sbl_v2_42,N,Y,0,NA,
sbl_v2_43,N,Y,0,NA,
sbl_v2_44,N,Y,0,NA,
sbl_v2_45,N,Y,0,NA,
sbl_v2_46,N,Y,0,NA,
sbl_v2_47,N,Y,0,NA,
sbl_v2_48,N,Y,0,NA,
sbl_v2_49,N,Y,0,NA,
sbl_v2_50,N,Y,0,NA,
sbl_v2_51,N,Y,0,NA,
sbl_v2_52,N,Y,0,NA,
