pageID,has_image,has_text,count_of_image,img_layout,error
slgf_qc_1,N,Y,0,NA,
slgf_qc_2,N,Y,0,NA,
slgf_qc_3,N,Y,0,NA,
slgf_qc_4,N,Y,0,NA,
slgf_qc_5,N,Y,0,NA,
slgf_qc_6,N,Y,0,NA,
slgf_qc_7,N,Y,0,NA,
slgf_qc_8,N,Y,0,NA,
slgf_qc_9,N,Y,0,NA,
slgf_qc_10,N,Y,0,NA,
slgf_qc_11,Y,Y,2,td,
slgf_qc_12,N,Y,0,NA,
slgf_qc_13,N,Y,0,NA,
slgf_qc_14,N,Y,0,NA,
slgf_qc_15,N,Y,0,NA,
slgf_qc_16,N,Y,0,NA,
slgf_qc_17,Y,N,1,sgl,
slgf_qc_18,N,Y,0,NA,
slgf_qc_19,N,Y,0,NA,
slgf_qc_20,N,Y,0,NA,
slgf_qc_21,N,Y,0,NA,
slgf_qc_22,N,Y,0,NA,
slgf_qc_23,Y,Y,1,sgl,
slgf_qc_24,N,Y,0,NA,
slgf_qc_25,Y,Y,3,td,
slgf_qc_26,N,Y,0,NA,
slgf_qc_27,Y,Y,1,sgl,
slgf_qc_28,N,Y,0,NA,
slgf_qc_29,N,Y,0,NA,
slgf_qc_30,N,Y,0,NA,
slgf_qc_31,N,Y,0,NA,
slgf_qc_32,N,Y,0,NA,
slgf_qc_33,N,Y,0,NA,
slgf_qc_34,N,Y,0,NA,
slgf_qc_35,N,Y,0,NA,
slgf_qc_36,N,Y,0,NA,
slgf_qc_37,N,Y,0,NA,
slgf_qc_38,N,Y,0,NA,
slgf_qc_39,N,Y,0,NA,
slgf_qc_40,N,Y,0,NA,
slgf_qc_41,N,Y,0,NA,
slgf_qc_42,N,Y,0,NA,
slgf_qc_43,N,Y,0,NA,
slgf_qc_44,N,Y,0,NA,
slgf_qc_45,N,Y,0,NA,
slgf_qc_46,N,Y,0,NA,
slgf_qc_47,N,Y,0,NA,
slgf_qc_48,N,Y,0,NA,
slgf_qc_49,N,Y,0,NA,
slgf_qc_50,N,Y,0,NA,
slgf_qc_51,Y,Y,4,lr,
slgf_qc_52,Y,Y,1,sgl,
slgf_qc_53,Y,Y,1,sgl,
slgf_qc_54,Y,Y,1,sgl,
slgf_qc_55,Y,Y,1,sgl,
slgf_qc_56,Y,Y,1,sgl,
slgf_qc_57,Y,Y,1,sgl,
slgf_qc_58,Y,Y,1,sgl,
slgf_qc_59,Y,Y,1,sgl,
slgf_qc_60,Y,Y,1,sgl,
slgf_qc_61,Y,Y,1,sgl,
slgf_qc_62,Y,Y,1,sgl,
slgf_qc_63,Y,Y,1,sgl,
slgf_qc_64,Y,Y,1,sgl,
slgf_qc_65,Y,Y,1,sgl,
slgf_qc_66,Y,Y,1,sgl,
slgf_qc_67,Y,Y,1,sgl,
slgf_qc_68,Y,Y,1,sgl,
slgf_qc_69,Y,Y,1,sgl,
slgf_qc_70,Y,Y,1,sgl,
slgf_qc_71,Y,Y,1,sgl,
slgf_qc_72,Y,Y,1,sgl,
slgf_qc_73,Y,Y,1,sgl,
slgf_qc_74,Y,Y,1,sgl,
slgf_qc_75,Y,Y,1,sgl,
slgf_qc_76,Y,Y,1,sgl,
slgf_qc_77,Y,Y,1,sgl,
slgf_qc_78,Y,Y,1,sgl,
slgf_qc_79,Y,Y,1,sgl,
slgf_qc_80,Y,Y,1,sgl,
slgf_qc_81,Y,Y,1,sgl,
slgf_qc_82,Y,Y,1,sgl,
slgf_qc_83,Y,Y,1,sgl,
slgf_qc_84,Y,Y,1,sgl,
slgf_qc_85,Y,Y,1,sgl,
slgf_qc_86,Y,Y,1,sgl,
slgf_qc_87,Y,Y,1,sgl,
slgf_qc_88,Y,Y,1,sgl,
slgf_qc_89,Y,Y,1,sgl,
slgf_qc_90,Y,Y,1,sgl,
slgf_qc_91,Y,Y,1,sgl,
slgf_qc_92,Y,Y,1,sgl,
slgf_qc_93,Y,Y,1,sgl,
slgf_qc_94,Y,Y,1,sgl,
slgf_qc_95,Y,Y,1,sgl,
slgf_qc_96,Y,Y,1,sgl,
slgf_qc_97,Y,Y,1,sgl,
slgf_qc_98,Y,Y,1,sgl,
slgf_qc_99,Y,Y,1,sgl,
slgf_qc_100,Y,Y,1,sgl,
slgf_qc_101,Y,Y,1,sgl,
slgf_qc_102,Y,Y,1,sgl,
slgf_qc_103,Y,Y,1,sgl,
slgf_qc_104,Y,Y,1,sgl,
