pageID,has_image,has_text,count_of_image,img_layout,error
wbz_mg_1,N,N,0,NA,
wbz_mg_2,N,Y,0,NA,
wbz_mg_3,N,N,0,NA,
wbz_mg_4,N,N,0,NA,
wbz_mg_5,N,N,0,NA,
wbz_mg_6,N,Y,0,NA,
wbz_mg_7,N,Y,0,NA,
wbz_mg_8,N,Y,0,NA,
wbz_mg_9,N,Y,0,NA,
wbz_mg_10,Y,Y,1,sgl,
wbz_mg_11,N,Y,0,NA,
wbz_mg_12,Y,Y,4,td,
wbz_mg_13,N,Y,0,NA,
wbz_mg_14,Y,Y,2,td,
wbz_mg_15,Y,Y,1,sgl,
wbz_mg_16,Y,Y,4,td,
wbz_mg_17,N,Y,0,NA,
wbz_mg_18,N,Y,0,NA,
wbz_mg_19,N,Y,0,NA,
wbz_mg_20,N,Y,0,NA,
wbz_mg_21,Y,Y,1,sgl,
wbz_mg_22,N,Y,0,NA,
wbz_mg_23,N,Y,0,NA,
wbz_mg_24,N,Y,0,NA,
wbz_mg_25,N,Y,0,NA,
wbz_mg_26,N,Y,0,NA,
wbz_mg_27,Y,Y,1,sgl,
wbz_mg_28,N,Y,0,NA,
wbz_mg_29,Y,Y,1,sgl,
wbz_mg_30,N,Y,0,NA,
wbz_mg_31,N,Y,0,NA,
wbz_mg_32,Y,Y,1,sgl,
wbz_mg_33,N,Y,0,NA,
wbz_mg_34,Y,Y,1,sgl,
wbz_mg_35,Y,Y,2,td,
wbz_mg_36,Y,Y,1,sgl,
wbz_mg_37,Y,Y,1,sgl,
wbz_mg_38,N,Y,0,NA,
wbz_mg_39,Y,Y,1,sgl,
wbz_mg_40,N,Y,0,NA,
wbz_mg_41,N,Y,0,NA,
wbz_mg_42,N,Y,0,NA,
wbz_mg_43,Y,Y,1,sgl,
wbz_mg_44,N,Y,0,NA,
wbz_mg_45,Y,Y,1,sgl,
wbz_mg_46,N,Y,0,NA,
wbz_mg_47,N,Y,0,NA,
wbz_mg_48,N,Y,0,NA,
wbz_mg_49,N,Y,0,NA,
wbz_mg_50,Y,Y,1,sgl,
wbz_mg_51,Y,Y,1,sgl,
wbz_mg_52,Y,Y,1,sgl,
wbz_mg_53,Y,Y,1,sgl,
wbz_mg_54,Y,Y,1,sgl,
wbz_mg_55,N,Y,0,NA,
wbz_mg_56,Y,Y,1,sgl,
wbz_mg_57,Y,Y,1,sgl,
wbz_mg_58,Y,Y,1,sgl,
wbz_mg_59,Y,Y,1,sgl,
wbz_mg_60,N,Y,0,NA,
wbz_mg_61,Y,Y,1,sgl,
wbz_mg_62,N,Y,0,NA,
wbz_mg_63,Y,Y,1,sgl,
wbz_mg_64,N,Y,0,NA,
wbz_mg_65,Y,Y,1,sgl,
wbz_mg_66,N,N,0,NA,
wbz_mg_67,N,N,0,NA,
wbz_mg_68,N,N,0,NA,
wbz_mg_69,N,N,0,NA,
wbz_mg_70,Y,Y,1,sgl,
wbz_mg_71,N,Y,0,NA,
wbz_mg_72,Y,Y,1,sgl,
wbz_mg_73,Y,Y,1,sgl,
wbz_mg_74,Y,Y,1,sgl,
wbz_mg_75,N,Y,0,NA,
wbz_mg_76,N,Y,0,NA,
wbz_mg_77,Y,Y,1,sgl,
wbz_mg_78,N,Y,0,NA,
wbz_mg_79,Y,Y,1,sgl,
wbz_mg_80,N,Y,0,NA,
wbz_mg_81,N,Y,0,NA,
wbz_mg_82,N,N,0,NA,
wbz_mg_83,N,N,0,NA,
wbz_mg_84,N,Y,0,NA,
wbz_mg_85,Y,Y,3,td,
wbz_mg_86,Y,Y,1,sgl,
wbz_mg_87,N,Y,0,NA,
wbz_mg_88,Y,Y,1,sgl,
wbz_mg_89,Y,Y,1,sgl,
wbz_mg_90,Y,Y,1,sgl,
wbz_mg_91,Y,Y,1,sgl,
wbz_mg_92,N,Y,0,NA,
wbz_mg_93,N,Y,0,NA,
wbz_mg_94,N,Y,0,NA,
wbz_mg_95,N,Y,0,NA,
wbz_mg_96,Y,Y,1,sgl,
wbz_mg_97,Y,Y,1,sgl,
wbz_mg_98,Y,Y,1,sgl,
wbz_mg_99,Y,Y,1,sgl,
wbz_mg_100,Y,Y,1,sgl,
wbz_mg_101,Y,Y,1,sgl,
wbz_mg_102,Y,Y,1,sgl,
wbz_mg_103,Y,Y,1,sgl,
wbz_mg_104,Y,Y,1,sgl,
wbz_mg_105,Y,Y,1,sgl,
wbz_mg_106,Y,Y,1,sgl,
wbz_mg_107,Y,Y,1,sgl,
wbz_mg_108,Y,Y,1,sgl,
wbz_mg_109,Y,Y,1,sgl,
wbz_mg_110,N,N,0,NA,
wbz_mg_111,N,N,0,NA,
wbz_mg_112,Y,Y,1,sgl,
wbz_mg_113,Y,Y,1,sgl,
wbz_mg_114,Y,Y,1,sgl,
wbz_mg_115,Y,Y,1,sgl,
wbz_mg_116,Y,Y,1,sgl,
wbz_mg_117,Y,Y,1,sgl,
wbz_mg_118,Y,Y,1,sgl,
wbz_mg_119,Y,Y,1,sgl,
wbz_mg_120,N,Y,0,NA,
wbz_mg_121,N,Y,0,NA,
wbz_mg_122,N,Y,0,NA,
wbz_mg_123,N,Y,0,NA,
wbz_mg_124,Y,Y,1,sgl,
wbz_mg_125,Y,N,1,sgl,
wbz_mg_126,Y,Y,1,sgl,
wbz_mg_127,Y,Y,1,sgl,
wbz_mg_128,Y,Y,1,sgl,
wbz_mg_129,Y,Y,1,sgl,
wbz_mg_130,Y,Y,1,sgl,
wbz_mg_131,Y,Y,1,sgl,
wbz_mg_132,Y,Y,1,sgl,
wbz_mg_133,Y,Y,1,sgl,
