pageID,has_image,has_text,count_of_image,img_layout,error
yjj_qm_1,N,Y,0,NA,
yjj_qm_2,N,N,0,NA,
yjj_qm_3,N,Y,0,NA,
yjj_qm_4,N,N,0,NA,
yjj_qm_5,N,N,0,NA,
yjj_qm_6,N,Y,0,NA,
yjj_qm_7,N,Y,0,NA,
yjj_qm_8,N,Y,0,NA,
yjj_qm_9,N,N,0,NA,
yjj_qm_10,N,Y,0,NA,
yjj_qm_11,Y,Y,1,sgl,
yjj_qm_12,Y,Y,1,sgl,
yjj_qm_13,Y,Y,1,sgl,
yjj_qm_14,Y,Y,1,sgl,
yjj_qm_15,Y,Y,1,sgl,
yjj_qm_16,Y,Y,1,sgl,
yjj_qm_17,Y,Y,1,sgl,
yjj_qm_18,Y,Y,1,sgl,
yjj_qm_19,Y,Y,1,sgl,
yjj_qm_20,Y,Y,1,sgl,
yjj_qm_21,Y,Y,1,sgl,
yjj_qm_22,Y,Y,1,sgl,
yjj_qm_23,Y,Y,1,sgl,
yjj_qm_24,Y,Y,1,sgl,
yjj_qm_25,Y,Y,1,sgl,
yjj_qm_26,Y,Y,1,sgl,
yjj_qm_27,Y,Y,1,sgl,
yjj_qm_28,Y,Y,1,sgl,
yjj_qm_29,Y,Y,1,sgl,
yjj_qm_30,Y,Y,1,sgl,
yjj_qm_31,Y,Y,1,sgl,
yjj_qm_32,N,N,0,NA,
yjj_qm_33,N,N,0,NA,
yjj_qm_34,N,N,0,NA,
yjj_qm_35,N,N,0,NA,
yjj_qm_36,N,N,0,NA,
yjj_qm_37,N,Y,0,NA,
