pageID,has_image,has_text,count_of_image,img_layout,error
bjzz_q_1,Y,N,1,sgl,
bjzz_q_2,Y,N,1,sgl,
bjzz_q_3,N,N,0,NA,
bjzz_q_4,N,N,0,NA,
bjzz_q_5,N,N,0,NA,
bjzz_q_6,N,N,0,NA,
bjzz_q_7,N,Y,0,NA,
bjzz_q_8,N,Y,0,NA,
bjzz_q_9,N,Y,0,NA,
bjzz_q_10,N,Y,0,NA,
bjzz_q_11,,,,,API error 400
bjzz_q_12,Y,Y,1,sgl,
bjzz_q_13,Y,Y,1,sgl,
bjzz_q_14,Y,Y,1,sgl,
bjzz_q_15,Y,Y,1,sgl,
bjzz_q_16,Y,Y,1,sgl,
bjzz_q_17,Y,Y,1,sgl,
bjzz_q_18,Y,Y,1,sgl,
bjzz_q_19,Y,N,1,sgl,
bjzz_q_20,Y,Y,1,sgl,
bjzz_q_21,Y,Y,1,sgl,
bjzz_q_22,Y,Y,1,sgl,
bjzz_q_23,Y,Y,1,sgl,
bjzz_q_24,Y,Y,1,sgl,
bjzz_q_25,Y,Y,1,sgl,
bjzz_q_26,Y,Y,1,sgl,
bjzz_q_27,Y,N,1,sgl,
bjzz_q_28,Y,Y,1,sgl,
bjzz_q_29,Y,N,1,sgl,
bjzz_q_30,Y,Y,1,sgl,
bjzz_q_31,Y,Y,1,sgl,
bjzz_q_32,Y,Y,1,sgl,
bjzz_q_33,Y,Y,1,sgl,
bjzz_q_34,Y,Y,1,sgl,
bjzz_q_35,Y,Y,1,sgl,
bjzz_q_36,Y,Y,1,sgl,
bjzz_q_37,N,Y,0,NA,
bjzz_q_38,N,N,0,NA,
bjzz_q_39,N,N,0,NA,
bjzz_q_40,N,N,0,NA,
bjzz_q_41,N,Y,0,NA,
bjzz_q_42,N,N,0,NA,
bjzz_q_43,Y,N,1,sgl,
bjzz_q_44,Y,N,1,sgl,
