pageID,has_image,has_text,count_of_image,img_layout,error
clf_xmhq_1,Y,Y,2,td,
clf_xmhq_2,Y,Y,1,sgl,
clf_xmhq_3,N,Y,0,NA,
clf_xmhq_4,N,Y,0,NA,
clf_xmhq_5,N,Y,0,NA,
clf_xmhq_6,N,Y,0,NA,
clf_xmhq_7,N,Y,0,NA,
clf_xmhq_8,Y,Y,1,sgl,
clf_xmhq_9,N,Y,0,NA,
clf_xmhq_10,Y,Y,1,sgl,
clf_xmhq_11,N,Y,0,NA,
clf_xmhq_12,Y,Y,1,sgl,
clf_xmhq_13,N,Y,0,NA,
clf_xmhq_14,Y,Y,1,sgl,
clf_xmhq_15,N,Y,0,NA,
clf_xmhq_16,Y,Y,1,sgl,
clf_xmhq_17,N,Y,0,NA,
clf_xmhq_18,Y,Y,1,sgl,
clf_xmhq_19,N,Y,0,NA,
clf_xmhq_20,Y,Y,1,sgl,
clf_xmhq_21,N,Y,0,NA,
clf_xmhq_22,Y,Y,1,sgl,
clf_xmhq_23,N,Y,0,NA,
clf_xmhq_24,Y,Y,1,sgl,
clf_xmhq_25,N,Y,0,NA,
clf_xmhq_26,Y,Y,1,sgl,
clf_xmhq_27,N,Y,0,NA,
clf_xmhq_28,Y,Y,1,sgl,
clf_xmhq_29,N,Y,0,NA,
clf_xmhq_30,Y,Y,1,sgl,
clf_xmhq_31,N,Y,0,NA,
clf_xmhq_32,Y,Y,1,sgl,
clf_xmhq_33,N,Y,0,NA,
clf_xmhq_34,Y,Y,1,sgl,
clf_xmhq_35,N,Y,0,NA,
clf_xmhq_36,Y,Y,1,sgl,
clf_xmhq_37,N,Y,0,NA,
clf_xmhq_38,Y,Y,1,sgl,
clf_xmhq_39,N,Y,0,NA,
clf_xmhq_40,Y,Y,1,sgl,
clf_xmhq_41,N,Y,0,NA,
clf_xmhq_42,N,Y,0,NA,
clf_xmhq_43,Y,Y,1,sgl,
clf_xmhq_44,N,Y,0,NA,
clf_xmhq_45,Y,Y,1,sgl,
clf_xmhq_46,N,Y,0,NA,
clf_xmhq_47,Y,Y,1,sgl,
clf_xmhq_48,N,Y,0,NA,
clf_xmhq_49,Y,Y,1,sgl,
clf_xmhq_50,N,Y,0,NA,
clf_xmhq_51,Y,Y,1,sgl,
clf_xmhq_52,N,Y,0,NA,
clf_xmhq_53,Y,Y,1,sgl,
clf_xmhq_54,N,Y,0,NA,
clf_xmhq_55,Y,Y,1,sgl,
clf_xmhq_56,N,Y,0,NA,
clf_xmhq_57,Y,Y,1,sgl,
clf_xmhq_58,N,Y,0,NA,
clf_xmhq_59,Y,Y,1,sgl,
clf_xmhq_60,N,Y,0,NA,
clf_xmhq_61,Y,Y,1,sgl,
clf_xmhq_62,N,Y,0,NA,
clf_xmhq_63,Y,Y,1,sgl,
clf_xmhq_64,N,Y,0,NA,
clf_xmhq_65,Y,Y,1,sgl,
clf_xmhq_66,Y,Y,1,sgl,
clf_xmhq_67,Y,Y,1,sgl,
clf_xmhq_68,N,Y,0,NA,
clf_xmhq_69,Y,Y,1,sgl,
clf_xmhq_70,N,Y,0,NA,
clf_xmhq_71,Y,Y,1,sgl,
clf_xmhq_72,N,Y,0,NA,
clf_xmhq_73,Y,Y,1,sgl,
clf_xmhq_74,N,Y,0,NA,
clf_xmhq_75,Y,Y,1,sgl,
clf_xmhq_76,N,Y,0,NA,
clf_xmhq_77,Y,Y,1,sgl,
clf_xmhq_78,N,Y,0,NA,
clf_xmhq_79,Y,Y,1,sgl,
clf_xmhq_80,N,Y,0,NA,
clf_xmhq_81,Y,Y,1,sgl,
clf_xmhq_82,N,Y,0,NA,
