pageID,has_image,has_text,count_of_image,img_layout,error
cqs_q_1,N,Y,0,NA,
cqs_q_2,N,Y,0,NA,
cqs_q_3,N,Y,0,NA,
cqs_q_4,N,Y,0,NA,
cqs_q_5,N,Y,0,NA,
cqs_q_6,N,Y,0,NA,
cqs_q_7,N,Y,0,NA,
cqs_q_8,N,Y,0,NA,
cqs_q_9,N,Y,0,NA,
cqs_q_10,N,Y,0,NA,
cqs_q_11,N,Y,0,NA,
cqs_q_12,N,Y,0,NA,
cqs_q_13,N,Y,0,NA,
cqs_q_14,N,Y,0,NA,
cqs_q_15,N,Y,0,NA,
cqs_q_16,N,Y,0,NA,
cqs_q_17,N,Y,0,NA,
cqs_q_18,N,N,0,NA,
cqs_q_19,Y,Y,1,sgl,
cqs_q_20,Y,Y,1,sgl,
cqs_q_21,Y,Y,1,sgl,
cqs_q_22,Y,Y,1,sgl,
cqs_q_23,Y,Y,1,sgl,
cqs_q_24,Y,Y,1,sgl,
cqs_q_25,Y,Y,1,sgl,
cqs_q_26,Y,Y,1,sgl,
cqs_q_27,Y,Y,1,sgl,
cqs_q_28,Y,Y,1,sgl,
cqs_q_29,Y,Y,1,sgl,
cqs_q_30,Y,Y,1,sgl,
cqs_q_31,Y,Y,1,sgl,
cqs_q_32,Y,Y,1,sgl,
cqs_q_33,Y,Y,1,sgl,
cqs_q_34,Y,Y,1,sgl,
cqs_q_35,Y,Y,1,sgl,
cqs_q_36,Y,Y,1,sgl,
cqs_q_37,Y,Y,1,sgl,
cqs_q_38,Y,Y,1,sgl,
cqs_q_39,Y,Y,1,sgl,
cqs_q_40,Y,Y,1,sgl,
cqs_q_41,Y,Y,1,sgl,
cqs_q_42,Y,Y,1,sgl,
cqs_q_43,N,N,0,NA,
cqs_q_44,N,N,0,NA,
cqs_q_45,N,N,0,NA,
cqs_q_46,N,N,0,NA,
