pageID,has_image,has_text,count_of_image,img_layout,error
cswj_v1_1,N,Y,0,NA,
cswj_v1_2,N,Y,0,NA,
cswj_v1_3,N,Y,0,NA,
cswj_v1_4,N,Y,0,NA,
cswj_v1_5,N,Y,0,NA,
cswj_v1_6,N,Y,0,NA,
cswj_v1_7,N,Y,0,NA,
cswj_v1_8,N,Y,0,NA,
cswj_v1_9,N,Y,0,NA,
cswj_v1_10,N,Y,0,NA,
cswj_v1_11,N,Y,0,NA,
cswj_v1_12,N,Y,0,NA,
cswj_v1_13,N,Y,0,NA,
cswj_v1_14,Y,Y,1,sgl,
cswj_v1_15,N,Y,0,NA,
cswj_v1_16,N,Y,0,NA,
cswj_v1_17,N,Y,0,NA,
cswj_v1_18,N,Y,0,NA,
cswj_v1_19,N,Y,0,NA,
cswj_v1_20,N,Y,0,NA,
cswj_v1_21,N,Y,0,NA,
cswj_v1_22,N,Y,0,NA,
cswj_v1_23,N,Y,0,NA,
cswj_v1_24,N,Y,0,NA,
cswj_v1_25,N,Y,0,NA,
cswj_v1_26,N,Y,0,NA,
cswj_v1_27,N,Y,0,NA,
cswj_v1_28,N,Y,0,NA,
cswj_v1_29,N,Y,0,NA,
cswj_v1_30,N,Y,0,NA,
cswj_v1_31,N,Y,0,NA,
cswj_v1_32,Y,Y,1,sgl,
cswj_v1_33,N,Y,0,NA,
cswj_v1_34,N,Y,0,NA,
cswj_v1_35,N,Y,0,NA,
cswj_v1_36,N,Y,0,NA,
cswj_v1_37,Y,Y,1,sgl,
cswj_v1_38,N,Y,0,NA,
cswj_v1_39,N,Y,0,NA,
cswj_v1_40,N,Y,0,NA,
cswj_v1_41,N,Y,0,NA,
cswj_v1_42,N,Y,0,NA,
cswj_v1_43,N,Y,0,NA,
cswj_v1_44,N,Y,0,NA,
cswj_v1_45,N,Y,0,NA,
cswj_v1_46,N,Y,0,NA,
cswj_v1_47,N,Y,0,NA,
cswj_v1_48,Y,Y,1,sgl,
cswj_v1_49,N,Y,0,NA,
cswj_v1_50,N,Y,0,NA,
cswj_v1_51,N,Y,0,NA,
cswj_v1_52,N,Y,0,NA,
cswj_v1_53,N,Y,0,NA,
cswj_v1_54,N,Y,0,NA,
cswj_v1_55,Y,Y,1,sgl,
cswj_v1_56,N,Y,0,NA,
cswj_v1_57,N,Y,0,NA,
cswj_v1_58,N,Y,0,NA,
cswj_v1_59,N,Y,0,NA,
cswj_v1_60,N,Y,0,NA,
cswj_v1_61,Y,Y,1,sgl,
cswj_v1_62,N,Y,0,NA,
cswj_v1_63,N,Y,0,NA,
cswj_v1_64,N,Y,0,NA,
cswj_v1_65,N,Y,0,NA,
cswj_v1_66,N,Y,0,NA,
cswj_v1_67,N,Y,0,NA,
cswj_v1_68,N,Y,0,NA,
cswj_v1_69,Y,Y,1,sgl,
cswj_v1_70,N,Y,0,NA,
cswj_v1_71,N,Y,0,NA,
cswj_v1_72,Y,Y,1,sgl,
cswj_v1_73,N,Y,0,NA,
cswj_v1_74,Y,Y,1,sgl,
cswj_v1_75,Y,Y,1,sgl,
cswj_v1_76,Y,Y,1,sgl,
cswj_v1_77,Y,Y,1,sgl,
cswj_v1_78,Y,Y,1,sgl,
cswj_v1_79,Y,Y,1,sgl,
cswj_v1_80,Y,Y,1,sgl,
cswj_v1_81,Y,Y,1,sgl,
cswj_v1_82,Y,Y,1,sgl,
cswj_v1_83,Y,Y,1,sgl,
cswj_v1_84,Y,Y,1,sgl,
cswj_v1_85,Y,Y,1,sgl,
cswj_v1_86,Y,Y,1,sgl,
cswj_v1_87,Y,Y,1,sgl,
cswj_v1_88,Y,Y,1,sgl,
cswj_v1_89,Y,Y,1,sgl,
cswj_v1_90,Y,Y,1,sgl,
cswj_v1_91,Y,Y,1,sgl,
cswj_v1_92,Y,Y,1,sgl,
cswj_v1_93,Y,Y,1,sgl,
cswj_v1_94,Y,Y,1,sgl,
cswj_v1_95,N,Y,0,NA,
cswj_v1_96,Y,Y,1,sgl,
cswj_v1_97,Y,Y,1,sgl,
cswj_v1_98,Y,Y,1,sgl,
cswj_v1_99,Y,Y,1,sgl,
cswj_v1_100,Y,Y,1,sgl,
cswj_v1_101,Y,Y,1,sgl,
cswj_v1_102,Y,Y,1,sgl,
cswj_v1_103,N,Y,0,NA,
cswj_v1_104,Y,Y,1,sgl,
cswj_v1_105,N,Y,0,NA,
cswj_v1_106,N,Y,0,NA,
cswj_v1_107,N,Y,0,NA,
cswj_v1_108,Y,Y,1,sgl,
cswj_v1_109,N,Y,0,NA,
cswj_v1_110,Y,Y,1,sgl,
cswj_v1_111,N,Y,0,NA,
cswj_v1_112,N,Y,0,NA,
cswj_v1_113,N,Y,0,NA,
cswj_v1_114,Y,Y,1,sgl,
cswj_v1_115,N,Y,0,NA,
cswj_v1_116,N,Y,0,NA,
cswj_v1_117,Y,Y,1,sgl,
cswj_v1_118,N,Y,0,NA,
cswj_v1_119,N,Y,0,NA,
cswj_v1_120,N,Y,0,NA,
cswj_v1_121,N,Y,0,NA,
cswj_v1_122,Y,Y,1,sgl,
cswj_v1_123,Y,Y,1,sgl,
cswj_v1_124,Y,Y,1,sgl,
cswj_v1_125,N,Y,0,NA,
cswj_v1_126,Y,Y,1,sgl,
cswj_v1_127,Y,Y,1,sgl,
cswj_v1_128,Y,Y,1,sgl,
cswj_v1_129,Y,Y,1,sgl,
cswj_v1_130,Y,Y,1,sgl,
cswj_v1_131,Y,Y,1,sgl,
cswj_v1_132,Y,Y,1,sgl,
cswj_v1_133,Y,Y,1,sgl,
cswj_v1_134,Y,Y,1,sgl,
cswj_v1_135,N,Y,0,NA,
cswj_v1_136,N,Y,0,NA,
cswj_v1_137,Y,Y,1,sgl,
cswj_v1_138,Y,Y,1,sgl,
cswj_v1_139,Y,Y,1,sgl,
