pageID,has_image,has_text,count_of_image,img_layout,error
cztjj_m_1,N,Y,0,NA,
cztjj_m_2,N,Y,0,NA,
cztjj_m_3,N,N,0,NA,
cztjj_m_4,N,Y,0,NA,
cztjj_m_5,N,Y,0,NA,
cztjj_m_6,N,Y,0,NA,
cztjj_m_7,Y,Y,2,td,
cztjj_m_8,N,Y,0,NA,
cztjj_m_9,Y,Y,1,sgl,
cztjj_m_10,Y,Y,1,sgl,
cztjj_m_11,N,Y,0,NA,
cztjj_m_12,N,Y,0,NA,
cztjj_m_13,Y,Y,1,sgl,
cztjj_m_14,Y,Y,1,sgl,
cztjj_m_15,N,Y,0,NA,
cztjj_m_16,N,Y,0,NA,
cztjj_m_17,Y,Y,1,sgl,
cztjj_m_18,N,Y,0,NA,
cztjj_m_19,Y,Y,1,sgl,
cztjj_m_20,Y,Y,1,sgl,
cztjj_m_21,Y,Y,1,sgl,
cztjj_m_22,N,Y,0,NA,
cztjj_m_23,Y,Y,1,sgl,
cztjj_m_24,Y,Y,1,sgl,
cztjj_m_25,Y,Y,1,sgl,
cztjj_m_26,N,Y,0,NA,
cztjj_m_27,Y,Y,1,sgl,
cztjj_m_28,Y,Y,1,sgl,
cztjj_m_29,N,Y,0,NA,
cztjj_m_30,N,Y,0,NA,
cztjj_m_31,Y,Y,1,sgl,
cztjj_m_32,Y,Y,1,sgl,
cztjj_m_33,N,Y,0,NA,
cztjj_m_34,N,Y,0,NA,
cztjj_m_35,Y,Y,1,sgl,
cztjj_m_36,Y,Y,1,sgl,
cztjj_m_37,N,Y,0,NA,
cztjj_m_38,N,Y,0,NA,
cztjj_m_39,Y,Y,1,sgl,
cztjj_m_40,Y,Y,1,sgl,
cztjj_m_41,N,Y,0,NA,
cztjj_m_42,N,Y,0,NA,
cztjj_m_43,Y,Y,1,sgl,
cztjj_m_44,Y,N,1,sgl,
cztjj_m_45,Y,N,1,sgl,
cztjj_m_46,N,Y,0,NA,
cztjj_m_47,Y,Y,1,sgl,
cztjj_m_48,Y,N,1,sgl,
cztjj_m_49,N,Y,0,NA,
cztjj_m_50,N,N,0,NA,
cztjj_m_51,N,Y,0,NA,
cztjj_m_52,N,N,0,NA,
cztjj_m_53,N,Y,0,NA,
cztjj_m_54,Y,Y,1,sgl,
cztjj_m_55,Y,Y,1,sgl,
cztjj_m_56,Y,Y,1,sgl,
cztjj_m_57,N,Y,0,NA,
cztjj_m_58,Y,Y,1,sgl,
cztjj_m_59,Y,Y,1,sgl,
cztjj_m_60,N,Y,0,NA,
cztjj_m_61,N,Y,0,NA,
cztjj_m_62,Y,Y,1,sgl,
cztjj_m_63,Y,N,1,sgl,
cztjj_m_64,N,Y,0,NA,
cztjj_m_65,N,Y,0,NA,
cztjj_m_66,N,Y,0,NA,
cztjj_m_67,N,Y,0,NA,
cztjj_m_68,Y,Y,1,sgl,
cztjj_m_69,Y,Y,1,sgl,
cztjj_m_70,Y,Y,1,sgl,
cztjj_m_71,Y,Y,1,sgl,
cztjj_m_72,N,Y,0,NA,
cztjj_m_73,N,Y,0,NA,
cztjj_m_74,Y,Y,1,sgl,
cztjj_m_75,Y,N,1,sgl,
cztjj_m_76,Y,N,1,sgl,
cztjj_m_77,N,Y,0,NA,
cztjj_m_78,Y,Y,1,sgl,
cztjj_m_79,Y,Y,1,sgl,
cztjj_m_80,N,Y,0,NA,
cztjj_m_81,N,Y,0,NA,
cztjj_m_82,Y,Y,1,sgl,
cztjj_m_83,Y,Y,1,sgl,
cztjj_m_84,N,Y,0,NA,
cztjj_m_85,N,Y,0,NA,
cztjj_m_86,Y,Y,1,sgl,
cztjj_m_87,Y,Y,1,sgl,
cztjj_m_88,N,Y,0,NA,
cztjj_m_89,Y,N,1,sgl,
cztjj_m_90,Y,N,1,sgl,
cztjj_m_91,Y,Y,1,sgl,
cztjj_m_92,N,Y,0,NA,
cztjj_m_93,N,Y,0,NA,
cztjj_m_94,N,Y,0,NA,
cztjj_m_95,N,Y,0,NA,
cztjj_m_96,Y,Y,1,sgl,
cztjj_m_97,Y,Y,1,sgl,
cztjj_m_98,N,Y,0,NA,
cztjj_m_99,N,Y,0,NA,
cztjj_m_100,N,Y,0,NA,
cztjj_m_101,N,Y,0,NA,
cztjj_m_102,Y,Y,1,sgl,
cztjj_m_103,Y,Y,1,sgl,
cztjj_m_104,N,Y,0,NA,
cztjj_m_105,N,Y,0,NA,
cztjj_m_106,Y,Y,1,sgl,
cztjj_m_107,Y,Y,1,sgl,
cztjj_m_108,N,Y,0,NA,
cztjj_m_109,N,Y,0,NA,
