pageID,has_image,has_text,count_of_image,img_layout,error
hhsx_v1_1,N,Y,0,NA,
hhsx_v1_2,N,N,0,NA,
hhsx_v1_3,Y,Y,1,sgl,
hhsx_v1_4,N,Y,0,NA,
hhsx_v1_5,Y,Y,1,sgl,
hhsx_v1_6,N,Y,0,NA,
hhsx_v1_7,Y,Y,1,sgl,
hhsx_v1_8,N,Y,0,NA,
hhsx_v1_9,Y,Y,1,sgl,
hhsx_v1_10,N,Y,0,NA,
hhsx_v1_11,Y,Y,1,sgl,
hhsx_v1_12,N,Y,0,NA,
hhsx_v1_13,Y,Y,1,sgl,
hhsx_v1_14,N,Y,0,NA,
hhsx_v1_15,Y,Y,1,sgl,
hhsx_v1_16,N,Y,0,NA,
hhsx_v1_17,Y,Y,1,sgl,
hhsx_v1_18,N,Y,0,NA,
hhsx_v1_19,Y,Y,1,sgl,
hhsx_v1_20,N,Y,0,NA,
hhsx_v1_21,Y,Y,1,sgl,
hhsx_v1_22,N,Y,0,NA,
hhsx_v1_23,Y,Y,1,sgl,
hhsx_v1_24,N,Y,0,NA,
hhsx_v1_25,Y,Y,1,sgl,
hhsx_v1_26,N,Y,0,NA,
hhsx_v1_27,Y,Y,1,sgl,
hhsx_v1_28,N,Y,0,NA,
hhsx_v1_29,Y,Y,1,sgl,
hhsx_v1_30,N,Y,0,NA,
hhsx_v1_31,Y,Y,1,sgl,
hhsx_v1_32,N,Y,0,NA,
hhsx_v1_33,Y,Y,1,sgl,
hhsx_v1_34,N,Y,0,NA,
hhsx_v1_35,Y,Y,1,sgl,
hhsx_v1_36,N,Y,0,NA,
hhsx_v1_37,Y,Y,1,sgl,
hhsx_v1_38,N,Y,0,NA,
hhsx_v1_39,Y,Y,1,sgl,
hhsx_v1_40,N,Y,0,NA,
hhsx_v1_41,Y,Y,1,sgl,
hhsx_v1_42,N,Y,0,NA,
hhsx_v1_43,Y,Y,1,sgl,
hhsx_v1_44,N,Y,0,NA,
hhsx_v1_45,Y,Y,1,sgl,
hhsx_v1_46,N,Y,0,NA,
hhsx_v1_47,Y,Y,1,sgl,
hhsx_v1_48,N,Y,0,NA,
hhsx_v1_49,Y,Y,1,sgl,
hhsx_v1_50,N,Y,0,NA,
hhsx_v1_51,Y,Y,1,sgl,
hhsx_v1_52,N,Y,0,NA,
hhsx_v1_53,Y,Y,1,sgl,
hhsx_v1_54,N,Y,0,NA,
hhsx_v1_55,Y,Y,1,sgl,
hhsx_v1_56,N,Y,0,NA,
hhsx_v1_57,Y,Y,1,sgl,
hhsx_v1_58,N,Y,0,NA,
hhsx_v1_59,Y,Y,1,sgl,
hhsx_v1_60,N,Y,0,NA,
hhsx_v1_61,Y,Y,1,sgl,
hhsx_v1_62,N,Y,0,NA,
hhsx_v1_63,Y,Y,1,sgl,
hhsx_v1_64,N,Y,0,NA,
hhsx_v1_65,Y,Y,1,sgl,
hhsx_v1_66,N,Y,0,NA,
hhsx_v1_67,Y,Y,1,sgl,
hhsx_v1_68,N,Y,0,NA,
hhsx_v1_69,Y,Y,1,sgl,
hhsx_v1_70,N,Y,0,NA,
hhsx_v1_71,Y,Y,1,sgl,
hhsx_v1_72,N,Y,0,NA,
hhsx_v1_73,Y,Y,1,sgl,
hhsx_v1_74,N,Y,0,NA,
hhsx_v1_75,Y,Y,1,sgl,
hhsx_v1_76,N,Y,0,NA,
hhsx_v1_77,Y,Y,1,sgl,
hhsx_v1_78,N,Y,0,NA,
hhsx_v1_79,Y,Y,1,sgl,
hhsx_v1_80,N,Y,0,NA,
hhsx_v1_81,Y,Y,1,sgl,
hhsx_v1_82,N,Y,0,NA,
hhsx_v1_83,Y,Y,1,sgl,
hhsx_v1_84,N,Y,0,NA,
hhsx_v1_85,Y,Y,1,sgl,
hhsx_v1_86,N,Y,0,NA,
hhsx_v1_87,Y,Y,1,sgl,
hhsx_v1_88,N,Y,0,NA,
hhsx_v1_89,Y,Y,1,sgl,
hhsx_v1_90,N,Y,0,NA,
hhsx_v1_91,Y,Y,1,sgl,
hhsx_v1_92,N,Y,0,NA,
hhsx_v1_93,Y,Y,1,sgl,
hhsx_v1_94,N,Y,0,NA,
hhsx_v1_95,Y,Y,1,sgl,
hhsx_v1_96,N,Y,0,NA,
hhsx_v1_97,Y,Y,1,sgl,
hhsx_v1_98,N,Y,0,NA,
hhsx_v1_99,Y,Y,1,sgl,
