pageID,has_image,has_text,count_of_image,img_layout,error
jxxs_tw_1,N,N,0,NA,
jxxs_tw_2,N,Y,0,NA,
jxxs_tw_3,Y,Y,1,sgl,
jxxs_tw_4,Y,Y,1,sgl,
jxxs_tw_5,N,Y,0,NA,
jxxs_tw_6,N,Y,0,NA,
jxxs_tw_7,N,Y,0,NA,
jxxs_tw_8,N,Y,0,NA,
jxxs_tw_9,Y,Y,1,sgl,
jxxs_tw_10,Y,Y,1,sgl,
jxxs_tw_11,N,Y,0,NA,
jxxs_tw_12,N,Y,0,NA,
jxxs_tw_13,N,Y,0,NA,
jxxs_tw_14,N,Y,0,NA,
jxxs_tw_15,N,Y,0,NA,
jxxs_tw_16,N,Y,0,NA,
jxxs_tw_17,N,Y,0,NA,
jxxs_tw_18,N,Y,0,NA,
jxxs_tw_19,N,Y,0,NA,
jxxs_tw_20,N,Y,0,NA,
jxxs_tw_21,N,Y,0,NA,
jxxs_tw_22,N,Y,0,NA,
jxxs_tw_23,N,Y,0,NA,
jxxs_tw_24,N,Y,0,NA,
jxxs_tw_25,N,Y,0,NA,
jxxs_tw_26,N,Y,0,NA,
jxxs_tw_27,N,Y,0,NA,
jxxs_tw_28,N,Y,0,NA,
jxxs_tw_29,N,Y,0,NA,
jxxs_tw_30,N,Y,0,NA,
jxxs_tw_31,N,Y,0,NA,
jxxs_tw_32,N,Y,0,NA,
jxxs_tw_33,N,Y,0,NA,
jxxs_tw_34,N,Y,0,NA,
jxxs_tw_35,N,Y,0,NA,
jxxs_tw_36,Y,Y,1,sgl,
jxxs_tw_37,Y,Y,2,td,
jxxs_tw_38,Y,Y,1,sgl,
jxxs_tw_39,Y,Y,1,sgl,
jxxs_tw_40,Y,Y,2,lr,
jxxs_tw_41,Y,Y,2,lr,
jxxs_tw_42,Y,Y,1,sgl,
jxxs_tw_43,N,Y,0,NA,
jxxs_tw_44,Y,Y,1,sgl,
jxxs_tw_45,N,Y,0,NA,
jxxs_tw_46,Y,Y,1,sgl,
jxxs_tw_47,Y,Y,1,sgl,
jxxs_tw_48,Y,Y,1,sgl,
jxxs_tw_49,Y,Y,1,sgl,
jxxs_tw_50,N,Y,0,NA,
jxxs_tw_51,N,Y,0,NA,
jxxs_tw_52,N,Y,0,NA,
jxxs_tw_53,N,Y,0,NA,
jxxs_tw_54,N,Y,0,NA,
jxxs_tw_55,Y,Y,1,sgl,
jxxs_tw_56,Y,Y,1,sgl,
jxxs_tw_57,N,Y,0,NA,
