pageID,has_image,has_text,count_of_image,img_layout,error
mcgp_m_1,N,N,0,NA,
mcgp_m_2,N,Y,0,NA,
mcgp_m_3,N,N,0,NA,
mcgp_m_4,N,N,0,NA,
mcgp_m_5,N,N,0,NA,
mcgp_m_6,N,N,0,NA,
mcgp_m_7,N,N,0,NA,
mcgp_m_8,N,Y,0,NA,
mcgp_m_9,N,Y,0,NA,
mcgp_m_10,N,Y,0,NA,
mcgp_m_11,N,Y,0,NA,
mcgp_m_12,N,Y,0,NA,
mcgp_m_13,Y,Y,1,sgl,
mcgp_m_14,Y,Y,1,sgl,
mcgp_m_15,Y,Y,1,sgl,
mcgp_m_16,Y,Y,1,sgl,
mcgp_m_17,Y,Y,1,sgl,
mcgp_m_18,Y,Y,1,sgl,
mcgp_m_19,Y,Y,1,sgl,
mcgp_m_20,Y,Y,1,sgl,
mcgp_m_21,Y,Y,1,sgl,
mcgp_m_22,Y,Y,1,sgl,
mcgp_m_23,Y,Y,1,sgl,
mcgp_m_24,Y,Y,1,sgl,
mcgp_m_25,Y,Y,1,sgl,
mcgp_m_26,Y,Y,1,sgl,
mcgp_m_27,Y,Y,1,sgl,
mcgp_m_28,Y,Y,1,sgl,
mcgp_m_29,Y,Y,1,sgl,
mcgp_m_30,Y,Y,1,sgl,
mcgp_m_31,Y,Y,1,sgl,
mcgp_m_32,Y,Y,1,sgl,
mcgp_m_33,Y,Y,1,sgl,
mcgp_m_34,Y,Y,1,sgl,
mcgp_m_35,Y,Y,1,sgl,
mcgp_m_36,Y,Y,1,sgl,
mcgp_m_37,Y,Y,1,sgl,
mcgp_m_38,Y,Y,1,sgl,
mcgp_m_39,Y,Y,1,sgl,
mcgp_m_40,Y,Y,1,sgl,
mcgp_m_41,Y,Y,1,sgl,
mcgp_m_42,Y,Y,1,sgl,
mcgp_m_43,Y,Y,1,sgl,
mcgp_m_44,Y,Y,1,sgl,
mcgp_m_45,Y,Y,1,sgl,
mcgp_m_46,Y,Y,1,sgl,
mcgp_m_47,Y,Y,1,sgl,
mcgp_m_48,Y,Y,1,sgl,
mcgp_m_49,Y,Y,1,sgl,
mcgp_m_50,Y,Y,1,sgl,
mcgp_m_51,Y,Y,1,sgl,
mcgp_m_52,Y,Y,1,sgl,
mcgp_m_53,Y,Y,1,sgl,
mcgp_m_54,Y,Y,1,sgl,
mcgp_m_55,Y,Y,1,sgl,
mcgp_m_56,Y,Y,1,sgl,
mcgp_m_57,Y,Y,1,sgl,
mcgp_m_58,Y,Y,1,sgl,
mcgp_m_59,Y,Y,1,sgl,
mcgp_m_60,Y,Y,1,sgl,
mcgp_m_61,Y,Y,1,sgl,
mcgp_m_62,Y,Y,1,sgl,
mcgp_m_63,Y,Y,1,sgl,
mcgp_m_64,Y,Y,1,sgl,
mcgp_m_65,Y,Y,1,sgl,
mcgp_m_66,,,,,API error 400
mcgp_m_67,Y,Y,1,sgl,
mcgp_m_68,Y,Y,1,sgl,
mcgp_m_69,Y,Y,1,sgl,
mcgp_m_70,,,,,API error 400
mcgp_m_71,N,N,0,NA,
mcgp_m_72,N,N,0,NA,
mcgp_m_73,N,N,0,NA,
mcgp_m_74,N,N,0,NA,
mcgp_m_75,N,N,0,NA,
mcgp_m_76,N,N,0,NA,
mcgp_m_77,N,N,0,NA,
mcgp_m_78,N,N,0,NA,
mcgp_m_79,Y,Y,1,sgl,
mcgp_m_80,Y,Y,1,sgl,
mcgp_m_81,Y,Y,1,sgl,
mcgp_m_82,Y,Y,1,sgl,
mcgp_m_83,Y,Y,1,sgl,
mcgp_m_84,Y,Y,1,sgl,
mcgp_m_85,Y,Y,1,sgl,
mcgp_m_86,Y,Y,1,sgl,
mcgp_m_87,Y,Y,1,sgl,
mcgp_m_88,Y,Y,1,sgl,
mcgp_m_89,Y,Y,1,sgl,
mcgp_m_90,Y,Y,1,sgl,
mcgp_m_91,Y,Y,1,sgl,
mcgp_m_92,Y,Y,1,sgl,
mcgp_m_93,Y,Y,1,sgl,
mcgp_m_94,Y,Y,1,sgl,
mcgp_m_95,Y,Y,1,sgl,
mcgp_m_96,Y,Y,1,sgl,
mcgp_m_97,Y,Y,1,sgl,
mcgp_m_98,Y,Y,1,sgl,
mcgp_m_99,Y,Y,1,sgl,
mcgp_m_100,Y,Y,1,sgl,
mcgp_m_101,Y,Y,1,sgl,
mcgp_m_102,Y,Y,1,sgl,
mcgp_m_103,Y,Y,1,sgl,
mcgp_m_104,Y,Y,1,sgl,
mcgp_m_105,Y,Y,1,sgl,
mcgp_m_106,Y,Y,1,sgl,
mcgp_m_107,Y,Y,1,sgl,
mcgp_m_108,Y,Y,1,sgl,
mcgp_m_109,Y,Y,1,sgl,
mcgp_m_110,Y,Y,1,sgl,
mcgp_m_111,Y,Y,1,sgl,
mcgp_m_112,Y,Y,1,sgl,
mcgp_m_113,Y,Y,1,sgl,
mcgp_m_114,Y,Y,1,sgl,
mcgp_m_115,Y,Y,1,sgl,
mcgp_m_116,Y,Y,1,sgl,
mcgp_m_117,Y,Y,1,sgl,
mcgp_m_118,Y,Y,1,sgl,
mcgp_m_119,Y,Y,1,sgl,
mcgp_m_120,Y,Y,1,sgl,
mcgp_m_121,Y,Y,1,sgl,
mcgp_m_122,Y,Y,1,sgl,
mcgp_m_123,Y,Y,1,sgl,
mcgp_m_124,Y,Y,1,sgl,
mcgp_m_125,Y,Y,1,sgl,
mcgp_m_126,Y,Y,1,sgl,
mcgp_m_127,Y,Y,1,sgl,
mcgp_m_128,Y,Y,1,sgl,
mcgp_m_129,Y,Y,1,sgl,
mcgp_m_130,Y,Y,1,sgl,
mcgp_m_131,Y,Y,1,sgl,
mcgp_m_132,Y,Y,1,sgl,
mcgp_m_133,N,Y,0,NA,
mcgp_m_134,N,Y,0,NA,
mcgp_m_135,N,N,0,NA,
mcgp_m_136,N,N,0,NA,
mcgp_m_137,N,N,0,NA,
mcgp_m_138,N,N,0,NA,
