pageID,has_image,has_text,count_of_image,img_layout,error
qigqj_m_1,Y,Y,1,sgl,
qigqj_m_2,Y,Y,1,sgl,
qigqj_m_3,N,Y,0,NA,
qigqj_m_4,N,Y,0,NA,
qigqj_m_5,N,Y,0,NA,
qigqj_m_6,N,Y,0,NA,
qigqj_m_7,N,Y,0,NA,
qigqj_m_8,N,Y,0,NA,
qigqj_m_9,N,Y,0,NA,
qigqj_m_10,N,Y,0,NA,
qigqj_m_11,N,Y,0,NA,
qigqj_m_12,N,Y,0,NA,
qigqj_m_13,N,Y,0,NA,
qigqj_m_14,N,Y,0,NA,
qigqj_m_15,N,Y,0,NA,
qigqj_m_16,N,Y,0,NA,
qigqj_m_17,N,Y,0,NA,
qigqj_m_18,N,Y,0,NA,
qigqj_m_19,N,Y,0,NA,
qigqj_m_20,N,Y,0,NA,
qigqj_m_21,N,Y,0,NA,
qigqj_m_22,N,Y,0,NA,
qigqj_m_23,N,Y,0,NA,
qigqj_m_24,N,Y,0,NA,
qigqj_m_25,N,Y,0,NA,
qigqj_m_26,N,Y,0,NA,
qigqj_m_27,N,Y,0,NA,
qigqj_m_28,N,Y,0,NA,
qigqj_m_29,N,Y,0,NA,
qigqj_m_30,N,Y,0,NA,
qigqj_m_31,N,Y,0,NA,
qigqj_m_32,Y,Y,1,sgl,
qigqj_m_33,N,Y,0,NA,
qigqj_m_34,N,Y,0,NA,
qigqj_m_35,Y,Y,2,lr,
qigqj_m_36,Y,Y,2,lr,
qigqj_m_37,Y,Y,2,lr,
qigqj_m_38,Y,Y,2,lr,
qigqj_m_39,Y,Y,2,lr,
qigqj_m_40,Y,Y,2,lr,
qigqj_m_41,Y,Y,1,sgl,
qigqj_m_42,Y,Y,1,sgl,
qigqj_m_43,Y,Y,2,lr,
qigqj_m_44,Y,Y,1,sgl,
qigqj_m_45,Y,Y,2,lr,
qigqj_m_46,Y,Y,2,lr,
qigqj_m_47,N,Y,0,NA,
qigqj_m_48,N,Y,0,NA,
qigqj_m_49,N,Y,0,NA,
qigqj_m_50,N,Y,0,NA,
qigqj_m_51,Y,Y,1,sgl,
