pageID,has_image,has_text,count_of_image,img_layout,error
qjqf_tyl_1,N,Y,0,NA,
qjqf_tyl_2,N,Y,0,NA,
qjqf_tyl_3,N,Y,0,NA,
qjqf_tyl_4,N,Y,0,NA,
qjqf_tyl_5,N,Y,0,NA,
qjqf_tyl_6,Y,Y,1,sgl,
qjqf_tyl_7,Y,N,1,sgl,
qjqf_tyl_8,N,Y,0,NA,
qjqf_tyl_9,N,Y,0,NA,
qjqf_tyl_10,Y,Y,1,sgl,
qjqf_tyl_11,N,Y,0,NA,
qjqf_tyl_12,N,Y,0,NA,
qjqf_tyl_13,N,Y,0,NA,
qjqf_tyl_14,N,Y,0,NA,
qjqf_tyl_15,N,Y,0,NA,
qjqf_tyl_16,N,Y,0,NA,
qjqf_tyl_17,N,Y,0,NA,
qjqf_tyl_18,N,Y,0,NA,
qjqf_tyl_19,N,Y,0,NA,
qjqf_tyl_20,N,Y,0,NA,
qjqf_tyl_21,Y,Y,1,sgl,
qjqf_tyl_22,Y,Y,1,sgl,
qjqf_tyl_23,N,Y,0,NA,
qjqf_tyl_24,N,Y,0,NA,
qjqf_tyl_25,N,Y,0,NA,
qjqf_tyl_26,N,Y,0,NA,
qjqf_tyl_27,N,Y,0,NA,
qjqf_tyl_28,N,Y,0,NA,
qjqf_tyl_29,N,Y,0,NA,
qjqf_tyl_30,N,Y,0,NA,
qjqf_tyl_31,N,Y,0,NA,
qjqf_tyl_32,N,Y,0,NA,
qjqf_tyl_33,Y,Y,1,sgl,
qjqf_tyl_34,N,Y,0,NA,
qjqf_tyl_35,N,Y,0,NA,
qjqf_tyl_36,N,Y,0,NA,
qjqf_tyl_37,N,Y,0,NA,
qjqf_tyl_38,N,Y,0,NA,
qjqf_tyl_39,N,Y,0,NA,
qjqf_tyl_40,Y,Y,1,sgl,
qjqf_tyl_41,N,Y,0,NA,
qjqf_tyl_42,N,Y,0,NA,
qjqf_tyl_43,N,Y,0,NA,
qjqf_tyl_44,N,Y,0,NA,
qjqf_tyl_45,N,Y,0,NA,
qjqf_tyl_46,N,Y,0,NA,
qjqf_tyl_47,N,Y,0,NA,
qjqf_tyl_48,N,Y,0,NA,
qjqf_tyl_49,N,Y,0,NA,
qjqf_tyl_50,Y,Y,1,sgl,
qjqf_tyl_51,N,Y,0,NA,
qjqf_tyl_52,N,Y,0,NA,
qjqf_tyl_53,N,Y,0,NA,
qjqf_tyl_54,N,Y,0,NA,
qjqf_tyl_55,N,Y,0,NA,
qjqf_tyl_56,N,Y,0,NA,
qjqf_tyl_57,N,Y,0,NA,
qjqf_tyl_58,N,Y,0,NA,
qjqf_tyl_59,N,Y,0,NA,
qjqf_tyl_60,N,Y,0,NA,
qjqf_tyl_61,N,Y,0,NA,
qjqf_tyl_62,N,Y,0,NA,
qjqf_tyl_63,N,Y,0,NA,
qjqf_tyl_64,N,Y,0,NA,
qjqf_tyl_65,N,Y,0,NA,
qjqf_tyl_66,Y,Y,1,sgl,
qjqf_tyl_67,Y,Y,1,sgl,
qjqf_tyl_68,Y,Y,1,sgl,
qjqf_tyl_69,Y,Y,1,sgl,
qjqf_tyl_70,Y,Y,1,sgl,
qjqf_tyl_71,Y,Y,1,sgl,
qjqf_tyl_72,Y,Y,1,sgl,
qjqf_tyl_73,Y,Y,1,sgl,
qjqf_tyl_74,Y,Y,1,sgl,
qjqf_tyl_75,Y,Y,1,sgl,
qjqf_tyl_76,Y,Y,1,sgl,
qjqf_tyl_77,Y,Y,1,sgl,
qjqf_tyl_78,Y,Y,1,sgl,
qjqf_tyl_79,Y,Y,1,sgl,
qjqf_tyl_80,Y,Y,1,sgl,
qjqf_tyl_81,Y,Y,1,sgl,
qjqf_tyl_82,Y,Y,1,sgl,
qjqf_tyl_83,Y,Y,1,sgl,
qjqf_tyl_84,Y,Y,1,sgl,
qjqf_tyl_85,Y,Y,1,sgl,
qjqf_tyl_86,Y,Y,1,sgl,
qjqf_tyl_87,Y,Y,1,sgl,
qjqf_tyl_88,Y,Y,1,sgl,
qjqf_tyl_89,Y,Y,1,sgl,
qjqf_tyl_90,Y,Y,1,sgl,
qjqf_tyl_91,Y,Y,1,sgl,
qjqf_tyl_92,Y,Y,1,sgl,
qjqf_tyl_93,Y,Y,1,sgl,
qjqf_tyl_94,Y,Y,1,sgl,
qjqf_tyl_95,Y,Y,1,sgl,
qjqf_tyl_96,N,Y,0,NA,
