pageID,has_image,has_text,count_of_image,img_layout,error
syl_v3_1,Y,Y,1,sgl,
syl_v3_2,Y,N,1,sgl,
syl_v3_3,N,Y,0,NA,
syl_v3_4,N,Y,0,NA,
syl_v3_5,N,Y,0,NA,
syl_v3_6,N,Y,0,NA,
syl_v3_7,N,Y,0,NA,
syl_v3_8,N,Y,0,NA,
syl_v3_9,N,Y,0,NA,
syl_v3_10,N,Y,0,NA,
syl_v3_11,N,Y,0,NA,
syl_v3_12,N,Y,0,NA,
syl_v3_13,N,Y,0,NA,
syl_v3_14,N,Y,0,NA,
syl_v3_15,N,Y,0,NA,
syl_v3_16,N,Y,0,NA,
syl_v3_17,N,Y,0,NA,
syl_v3_18,N,Y,0,NA,
syl_v3_19,N,Y,0,NA,
syl_v3_20,N,Y,0,NA,
syl_v3_21,N,Y,0,NA,
syl_v3_22,Y,Y,1,sgl,
syl_v3_23,Y,Y,1,sgl,
syl_v3_24,Y,Y,1,sgl,
syl_v3_25,Y,Y,1,sgl,
syl_v3_26,Y,Y,1,sgl,
syl_v3_27,Y,Y,1,sgl,
syl_v3_28,Y,Y,1,sgl,
syl_v3_29,N,Y,0,NA,
syl_v3_30,Y,Y,1,sgl,
syl_v3_31,Y,Y,1,sgl,
syl_v3_32,Y,Y,1,sgl,
syl_v3_33,Y,Y,1,sgl,
syl_v3_34,Y,Y,1,sgl,
syl_v3_35,Y,Y,1,sgl,
syl_v3_36,Y,Y,1,sgl,
syl_v3_37,Y,Y,1,sgl,
syl_v3_38,Y,Y,1,sgl,
syl_v3_39,Y,Y,1,sgl,
syl_v3_40,Y,Y,1,sgl,
syl_v3_41,Y,Y,1,sgl,
syl_v3_42,Y,Y,1,sgl,
syl_v3_43,N,Y,0,NA,
syl_v3_44,N,Y,0,NA,
syl_v3_45,N,Y,0,NA,
syl_v3_46,N,Y,0,NA,
syl_v3_47,N,Y,0,NA,
syl_v3_48,N,Y,0,NA,
syl_v3_49,N,Y,0,NA,
syl_v3_50,N,Y,0,NA,
syl_v3_51,N,Y,0,NA,
syl_v3_52,N,Y,0,NA,
syl_v3_53,N,Y,0,NA,
syl_v3_54,N,Y,0,NA,
syl_v3_55,N,Y,0,NA,
syl_v3_56,N,Y,0,NA,
syl_v3_57,N,Y,0,NA,
syl_v3_58,N,Y,0,NA,
syl_v3_59,N,Y,0,NA,
syl_v3_60,N,Y,0,NA,
syl_v3_61,N,Y,0,NA,
syl_v3_62,N,Y,0,NA,
syl_v3_63,N,Y,0,NA,
syl_v3_64,N,Y,0,NA,
syl_v3_65,N,Y,0,NA,
syl_v3_66,N,Y,0,NA,
syl_v3_67,N,Y,0,NA,
syl_v3_68,N,Y,0,NA,
syl_v3_69,N,Y,0,NA,
syl_v3_70,N,Y,0,NA,
syl_v3_71,N,Y,0,NA,
syl_v3_72,N,Y,0,NA,
syl_v3_73,N,Y,0,NA,
syl_v3_74,N,Y,0,NA,
syl_v3_75,N,Y,0,NA,
syl_v3_76,N,Y,0,NA,
syl_v3_77,N,Y,0,NA,
syl_v3_78,N,Y,0,NA,
syl_v3_79,N,Y,0,NA,
syl_v3_80,N,Y,0,NA,
syl_v3_81,N,Y,0,NA,
syl_v3_82,N,Y,0,NA,
syl_v3_83,N,Y,0,NA,
syl_v3_84,N,Y,0,NA,
syl_v3_85,N,Y,0,NA,
syl_v3_86,N,Y,0,NA,
syl_v3_87,N,Y,0,NA,
syl_v3_88,N,Y,0,NA,
syl_v3_89,N,Y,0,NA,
syl_v3_90,N,Y,0,NA,
syl_v3_91,N,Y,0,NA,
syl_v3_92,N,Y,0,NA,
syl_v3_93,N,Y,0,NA,
syl_v3_94,N,Y,0,NA,
syl_v3_95,N,Y,0,NA,
syl_v3_96,N,Y,0,NA,
syl_v3_97,N,Y,0,NA,
syl_v3_98,N,Y,0,NA,
syl_v3_99,N,Y,0,NA,
syl_v3_100,N,Y,0,NA,
syl_v3_101,Y,Y,1,sgl,
syl_v3_102,Y,Y,1,sgl,
syl_v3_103,Y,Y,1,sgl,
syl_v3_104,Y,Y,1,sgl,
syl_v3_105,Y,Y,1,sgl,
syl_v3_106,Y,Y,1,sgl,
syl_v3_107,N,Y,0,NA,
syl_v3_108,Y,Y,1,sgl,
syl_v3_109,Y,Y,1,sgl,
syl_v3_110,Y,Y,1,sgl,
syl_v3_111,Y,Y,1,sgl,
syl_v3_112,Y,Y,1,sgl,
syl_v3_113,Y,Y,1,sgl,
syl_v3_114,Y,Y,1,sgl,
syl_v3_115,Y,Y,1,sgl,
syl_v3_116,Y,Y,1,sgl,
syl_v3_117,Y,Y,1,sgl,
syl_v3_118,Y,Y,1,sgl,
syl_v3_119,Y,Y,1,sgl,
syl_v3_120,Y,Y,1,sgl,
syl_v3_121,Y,Y,1,sgl,
syl_v3_122,Y,Y,1,sgl,
syl_v3_123,Y,Y,1,sgl,
syl_v3_124,Y,Y,1,sgl,
syl_v3_125,Y,Y,1,sgl,
syl_v3_126,N,Y,0,NA,
syl_v3_127,N,Y,0,NA,
syl_v3_128,N,Y,0,NA,
syl_v3_129,N,Y,0,NA,
syl_v3_130,N,Y,0,NA,
syl_v3_131,Y,Y,1,sgl,
syl_v3_132,Y,Y,1,sgl,
syl_v3_133,Y,Y,1,sgl,
syl_v3_134,Y,Y,1,sgl,
syl_v3_135,Y,Y,1,sgl,
syl_v3_136,Y,Y,1,sgl,
syl_v3_137,Y,Y,1,sgl,
syl_v3_138,Y,Y,1,sgl,
syl_v3_139,Y,Y,1,sgl,
syl_v3_140,Y,Y,1,sgl,
syl_v3_141,Y,Y,1,sgl,
syl_v3_142,Y,Y,1,sgl,
syl_v3_143,Y,Y,1,sgl,
syl_v3_144,Y,Y,1,sgl,
syl_v3_145,Y,Y,1,sgl,
syl_v3_146,Y,Y,1,sgl,
syl_v3_147,Y,Y,1,sgl,
syl_v3_148,Y,Y,1,sgl,
syl_v3_149,N,Y,0,NA,
syl_v3_150,N,Y,0,NA,
syl_v3_151,N,Y,0,NA,
syl_v3_152,N,Y,0,NA,
syl_v3_153,N,Y,0,NA,
syl_v3_154,N,Y,0,NA,
syl_v3_155,N,Y,0,NA,
syl_v3_156,N,Y,0,NA,
syl_v3_157,N,Y,0,NA,
syl_v3_158,N,Y,0,NA,
syl_v3_159,N,Y,0,NA,
syl_v3_160,N,Y,0,NA,
syl_v3_161,N,Y,0,NA,
syl_v3_162,N,Y,0,NA,
syl_v3_163,N,Y,0,NA,
syl_v3_164,N,Y,0,NA,
syl_v3_165,N,Y,0,NA,
syl_v3_166,N,Y,0,NA,
syl_v3_167,N,Y,0,NA,
syl_v3_168,N,Y,0,NA,
syl_v3_169,N,Y,0,NA,
syl_v3_170,N,Y,0,NA,
syl_v3_171,N,Y,0,NA,
syl_v3_172,N,Y,0,NA,
syl_v3_173,N,Y,0,NA,
syl_v3_174,N,N,0,NA,
syl_v3_175,Y,N,1,sgl,
