pageID,has_image,has_text,count_of_image,img_layout,error
tbbb_part2_1,N,Y,0,NA,
tbbb_part2_2,N,Y,0,NA,
tbbb_part2_3,N,N,0,NA,
tbbb_part2_4,N,N,0,NA,
tbbb_part2_5,N,Y,0,NA,
tbbb_part2_6,N,N,0,NA,
tbbb_part2_7,Y,Y,1,sgl,
tbbb_part2_8,N,Y,0,NA,
tbbb_part2_9,Y,Y,1,sgl,
tbbb_part2_10,N,Y,0,NA,
tbbb_part2_11,N,Y,0,NA,
tbbb_part2_12,N,Y,0,NA,
tbbb_part2_13,N,Y,0,NA,
tbbb_part2_14,N,Y,0,NA,
tbbb_part2_15,N,Y,0,NA,
tbbb_part2_16,Y,Y,1,sgl,
tbbb_part2_17,N,Y,0,NA,
tbbb_part2_18,Y,Y,1,sgl,
tbbb_part2_19,N,Y,0,NA,
tbbb_part2_20,Y,Y,1,sgl,
tbbb_part2_21,Y,Y,1,sgl,
tbbb_part2_22,Y,Y,1,sgl,
tbbb_part2_23,Y,Y,1,sgl,
tbbb_part2_24,N,Y,0,NA,
tbbb_part2_25,Y,Y,1,sgl,
tbbb_part2_26,Y,Y,1,sgl,
tbbb_part2_27,Y,Y,1,sgl,
tbbb_part2_28,N,Y,0,NA,
tbbb_part2_29,N,Y,0,NA,
tbbb_part2_30,N,Y,0,NA,
tbbb_part2_31,Y,Y,1,sgl,
tbbb_part2_32,Y,Y,1,sgl,
tbbb_part2_33,N,Y,0,NA,
tbbb_part2_34,Y,Y,1,sgl,
tbbb_part2_35,N,Y,0,NA,
tbbb_part2_36,Y,Y,1,sgl,
tbbb_part2_37,N,Y,0,NA,
tbbb_part2_38,Y,Y,1,sgl,
tbbb_part2_39,N,Y,0,NA,
tbbb_part2_40,Y,Y,1,sgl,
tbbb_part2_41,N,Y,0,NA,
tbbb_part2_42,N,Y,0,NA,
tbbb_part2_43,Y,Y,1,sgl,
tbbb_part2_44,Y,Y,1,sgl,
tbbb_part2_45,N,Y,0,NA,
tbbb_part2_46,N,Y,0,NA,
tbbb_part2_47,Y,Y,1,sgl,
tbbb_part2_48,Y,Y,1,sgl,
tbbb_part2_49,Y,Y,1,sgl,
tbbb_part2_50,N,Y,0,NA,
tbbb_part2_51,Y,Y,1,sgl,
