pageID,has_image,has_text,count_of_image,img_layout,error
wytp_nk_1,N,Y,0,NA,
wytp_nk_2,Y,N,1,sgl,
wytp_nk_3,N,Y,0,NA,
wytp_nk_4,Y,N,1,sgl,
wytp_nk_5,N,Y,0,NA,
wytp_nk_6,N,N,0,NA,
wytp_nk_7,N,Y,0,NA,
wytp_nk_8,N,Y,0,NA,
wytp_nk_9,N,Y,0,NA,
wytp_nk_10,N,Y,0,NA,
wytp_nk_11,N,Y,0,NA,
wytp_nk_12,N,Y,0,NA,
wytp_nk_13,N,Y,0,NA,
wytp_nk_14,N,Y,0,NA,
wytp_nk_15,N,Y,0,NA,
wytp_nk_16,N,Y,0,NA,
wytp_nk_17,N,Y,0,NA,
wytp_nk_18,N,Y,0,NA,
wytp_nk_19,N,Y,0,NA,
wytp_nk_20,Y,Y,1,sgl,
wytp_nk_21,N,Y,0,NA,
wytp_nk_22,N,Y,0,NA,
wytp_nk_23,N,Y,0,NA,
wytp_nk_24,N,Y,0,NA,
wytp_nk_25,N,Y,0,NA,
wytp_nk_26,N,Y,0,NA,
wytp_nk_27,N,Y,0,NA,
wytp_nk_28,N,Y,0,NA,
wytp_nk_29,N,Y,0,NA,
wytp_nk_30,N,Y,0,NA,
wytp_nk_31,N,Y,0,NA,
wytp_nk_32,N,Y,0,NA,
wytp_nk_33,N,Y,0,NA,
wytp_nk_34,N,Y,0,NA,
wytp_nk_35,N,Y,0,NA,
wytp_nk_36,N,Y,0,NA,
wytp_nk_37,N,Y,0,NA,
wytp_nk_38,N,Y,0,NA,
wytp_nk_39,N,Y,0,NA,
wytp_nk_40,N,Y,0,NA,
wytp_nk_41,N,Y,0,NA,
wytp_nk_42,N,Y,0,NA,
wytp_nk_43,N,Y,0,NA,
wytp_nk_44,N,Y,0,NA,
wytp_nk_45,N,Y,0,NA,
wytp_nk_46,N,Y,0,NA,
wytp_nk_47,N,Y,0,NA,
wytp_nk_48,N,Y,0,NA,
wytp_nk_49,N,Y,0,NA,
wytp_nk_50,N,Y,0,NA,
wytp_nk_51,N,Y,0,NA,
wytp_nk_52,N,Y,0,NA,
wytp_nk_53,N,Y,0,NA,
wytp_nk_54,N,Y,0,NA,
wytp_nk_55,N,Y,0,NA,
wytp_nk_56,N,Y,0,NA,
wytp_nk_57,N,Y,0,NA,
wytp_nk_58,N,Y,0,NA,
wytp_nk_59,N,Y,0,NA,
wytp_nk_60,N,Y,0,NA,
wytp_nk_61,N,Y,0,NA,
wytp_nk_62,N,Y,0,NA,
wytp_nk_63,N,Y,0,NA,
wytp_nk_64,N,Y,0,NA,
wytp_nk_65,N,Y,0,NA,
wytp_nk_66,N,Y,0,NA,
wytp_nk_67,N,Y,0,NA,
wytp_nk_68,N,Y,0,NA,
wytp_nk_69,N,Y,0,NA,
wytp_nk_70,N,Y,0,NA,
wytp_nk_71,N,Y,0,NA,
wytp_nk_72,N,Y,0,NA,
wytp_nk_73,N,Y,0,NA,
wytp_nk_74,N,Y,0,NA,
wytp_nk_75,N,Y,0,NA,
wytp_nk_76,N,Y,0,NA,
wytp_nk_77,N,Y,0,NA,
wytp_nk_78,N,Y,0,NA,
wytp_nk_79,N,Y,0,NA,
wytp_nk_80,N,Y,0,NA,
wytp_nk_81,Y,Y,1,sgl,
wytp_nk_82,N,Y,0,NA,
wytp_nk_83,N,Y,0,NA,
wytp_nk_84,N,Y,0,NA,
wytp_nk_85,N,Y,0,NA,
wytp_nk_86,N,Y,0,NA,
wytp_nk_87,N,Y,0,NA,
wytp_nk_88,N,Y,0,NA,
wytp_nk_89,N,Y,0,NA,
wytp_nk_90,N,Y,0,NA,
wytp_nk_91,Y,Y,1,sgl,
wytp_nk_92,N,Y,0,NA,
wytp_nk_93,Y,Y,1,sgl,
wytp_nk_94,Y,Y,1,sgl,
wytp_nk_95,Y,Y,1,sgl,
wytp_nk_96,Y,Y,1,sgl,
wytp_nk_97,Y,Y,1,sgl,
wytp_nk_98,Y,Y,1,sgl,
wytp_nk_99,Y,Y,1,sgl,
wytp_nk_100,Y,Y,1,sgl,
wytp_nk_101,Y,Y,1,sgl,
wytp_nk_102,Y,Y,1,sgl,
wytp_nk_103,Y,Y,1,sgl,
wytp_nk_104,Y,Y,1,sgl,
wytp_nk_105,Y,Y,1,sgl,
wytp_nk_106,Y,Y,1,sgl,
wytp_nk_107,Y,Y,1,sgl,
wytp_nk_108,Y,Y,1,sgl,
wytp_nk_109,Y,Y,1,sgl,
wytp_nk_110,Y,Y,1,sgl,
wytp_nk_111,Y,Y,1,sgl,
wytp_nk_112,Y,Y,1,sgl,
wytp_nk_113,Y,Y,1,sgl,
wytp_nk_114,Y,Y,1,sgl,
wytp_nk_115,Y,Y,1,sgl,
wytp_nk_116,Y,Y,1,sgl,
wytp_nk_117,Y,Y,1,sgl,
wytp_nk_118,Y,Y,1,sgl,
wytp_nk_119,Y,Y,1,sgl,
wytp_nk_120,Y,Y,1,sgl,
wytp_nk_121,Y,Y,1,sgl,
wytp_nk_122,Y,Y,1,sgl,
wytp_nk_123,N,Y,0,NA,
wytp_nk_124,N,Y,0,NA,
wytp_nk_125,Y,Y,1,sgl,
wytp_nk_126,Y,Y,1,sgl,
wytp_nk_127,Y,Y,1,sgl,
wytp_nk_128,Y,Y,1,sgl,
wytp_nk_129,Y,Y,1,sgl,
wytp_nk_130,Y,Y,1,sgl,
wytp_nk_131,Y,Y,1,sgl,
wytp_nk_132,Y,Y,1,sgl,
wytp_nk_133,Y,Y,1,sgl,
wytp_nk_134,Y,Y,1,sgl,
wytp_nk_135,Y,Y,1,sgl,
wytp_nk_136,Y,Y,1,sgl,
wytp_nk_137,Y,Y,1,sgl,
wytp_nk_138,N,Y,0,NA,
wytp_nk_139,Y,Y,1,sgl,
wytp_nk_140,Y,Y,1,sgl,
wytp_nk_141,Y,Y,1,sgl,
wytp_nk_142,Y,Y,1,sgl,
wytp_nk_143,Y,Y,1,sgl,
wytp_nk_144,Y,Y,1,sgl,
wytp_nk_145,Y,Y,1,sgl,
wytp_nk_146,Y,Y,1,sgl,
wytp_nk_147,Y,Y,1,sgl,
wytp_nk_148,Y,Y,1,sgl,
wytp_nk_149,Y,Y,1,sgl,
wytp_nk_150,Y,Y,1,sgl,
wytp_nk_151,Y,Y,1,sgl,
wytp_nk_152,Y,Y,1,sgl,
wytp_nk_153,Y,Y,1,sgl,
wytp_nk_154,Y,Y,1,sgl,
wytp_nk_155,Y,Y,5,td,
wytp_nk_156,Y,Y,1,sgl,
wytp_nk_157,Y,Y,3,td,
wytp_nk_158,N,Y,0,NA,
wytp_nk_159,N,Y,0,NA,
wytp_nk_160,N,Y,0,NA,
wytp_nk_161,Y,Y,1,sgl,
wytp_nk_162,N,Y,0,NA,
wytp_nk_163,Y,Y,1,sgl,
wytp_nk_164,Y,Y,1,sgl,
wytp_nk_165,Y,Y,1,sgl,
wytp_nk_166,Y,Y,1,sgl,
wytp_nk_167,Y,Y,1,sgl,
wytp_nk_168,Y,Y,1,sgl,
wytp_nk_169,Y,Y,1,sgl,
wytp_nk_170,Y,Y,1,sgl,
wytp_nk_171,Y,Y,1,sgl,
wytp_nk_172,Y,Y,1,sgl,
wytp_nk_173,N,Y,0,NA,
wytp_nk_174,Y,Y,1,sgl,
wytp_nk_175,N,Y,0,NA,
wytp_nk_176,N,Y,0,NA,
wytp_nk_177,Y,Y,1,sgl,
wytp_nk_178,N,Y,0,NA,
wytp_nk_179,Y,Y,1,sgl,
wytp_nk_180,Y,Y,1,sgl,
wytp_nk_181,Y,Y,1,sgl,
wytp_nk_182,Y,Y,1,sgl,
wytp_nk_183,Y,Y,1,sgl,
wytp_nk_184,Y,Y,1,sgl,
wytp_nk_185,Y,Y,1,sgl,
wytp_nk_186,Y,Y,1,sgl,
wytp_nk_187,Y,Y,1,sgl,
wytp_nk_188,Y,Y,1,sgl,
wytp_nk_189,Y,Y,1,sgl,
wytp_nk_190,N,Y,0,NA,
wytp_nk_191,Y,Y,1,sgl,
wytp_nk_192,Y,Y,1,sgl,
