pageID,has_image,has_text,count_of_image,img_layout,error
zggyjf_1,Y,Y,1,sgl,
zggyjf_2,Y,Y,1,sgl,
zggyjf_3,N,Y,0,NA,
zggyjf_4,N,Y,0,NA,
zggyjf_5,N,Y,0,NA,
zggyjf_6,N,Y,0,NA,
zggyjf_7,Y,Y,1,sgl,
zggyjf_8,N,Y,0,NA,
zggyjf_9,N,Y,0,NA,
zggyjf_10,Y,Y,1,sgl,
zggyjf_11,N,Y,0,NA,
zggyjf_12,N,Y,0,NA,
zggyjf_13,N,Y,0,NA,
zggyjf_14,N,Y,0,NA,
zggyjf_15,N,Y,0,NA,
zggyjf_16,N,Y,0,NA,
zggyjf_17,N,Y,0,NA,
zggyjf_18,N,Y,0,NA,
zggyjf_19,N,Y,0,NA,
zggyjf_20,N,Y,0,NA,
zggyjf_21,N,Y,0,NA,
zggyjf_22,Y,Y,2,lr,
zggyjf_23,Y,Y,2,lr,
zggyjf_24,Y,Y,1,sgl,
zggyjf_25,Y,Y,2,lr,
zggyjf_26,Y,Y,1,sgl,
zggyjf_27,Y,Y,2,lr,
zggyjf_28,Y,Y,2,lr,
zggyjf_29,Y,Y,2,lr,
zggyjf_30,Y,Y,2,lr,
zggyjf_31,Y,Y,2,lr,
zggyjf_32,Y,Y,2,lr,
zggyjf_33,Y,Y,2,lr,
zggyjf_34,N,Y,0,NA,
zggyjf_35,Y,Y,2,td,
zggyjf_36,Y,Y,2,td,
zggyjf_37,Y,Y,1,sgl,
zggyjf_38,Y,Y,1,sgl,
zggyjf_39,N,Y,0,NA,
zggyjf_40,N,Y,0,NA,
zggyjf_41,N,Y,0,NA,
zggyjf_42,Y,Y,1,sgl,
